trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	132	KG00101045	Gain, Weight	0.031070269644260406
trial_1	placebo	94	KG00103829	abdominal discomfort	0.031026851385831833
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.030591091141104698
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.030554212629795074
trial_1	placebo	40	KG00098092	Blepharoconjunctivitis NOS	0.030119650065898895
trial_1	placebo	164	KG00108827	ileus colon	0.029806967824697495
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.029485881328582764
trial_1	placebo	27	KG00099303	hyperkalaemia	0.0292824637144804
trial_1	placebo	397	KG00100456	Infections, Respiratory Tract	0.02890886552631855
trial_2	tadalafil	87	KG00098599	diarrhoea	0.2062276005744934
trial_2	tadalafil	173	KG00098172	Bronchopneumonia NOS	0.16767200827598572
trial_2	tadalafil	67	KG00098673	Dyspepsia, NOS	0.1630503237247467
trial_2	tadalafil	78	KG00099326	Hypertensive diseases	0.1412542760372162
trial_2	tadalafil	46	KG00099121	Headache NOS	0.13012397289276123
trial_2	tadalafil	21	KG00098675	dyspnoea	0.12680162489414215
trial_2	tadalafil	123	KG00099351	hypokalaemia	0.12571117281913757
trial_2	tadalafil	14	KG00097852	Anemia NOS	0.11603299528360367
trial_2	tadalafil	37	KG00097696	Cramps, Abdominal	0.11297373473644257
trial_2	tadalafil	9	KG00098432	Confusion NOS	0.10946425050497055
trial_2	tadalafil	20	KG00098540	dehydration	0.10855890810489655
trial_2	tadalafil	79	KG00100317	Insomnia, Primary	0.10802622884511948
trial_2	tadalafil	204	KG00098849	Esophagitis, Peptic	0.08322883397340775
trial_2	tadalafil	177	KG00099299	hyperglycaemia	0.08275189250707626
trial_2	tadalafil	18	KG00098307	Pain, Chest	0.08074245601892471
trial_2	tadalafil	116	KG00098964	Pain in foot	0.08067846298217773
trial_2	tadalafil	17	KG00097991	Asthenia NOS	0.08044497668743134
trial_2	tadalafil	85	KG00098474	coughs	0.07792076468467712
trial_2	tadalafil	114	KG00098933	fevers	0.0767303854227066
trial_2	tadalafil	64	KG00097734	Acrodermatitis, NOS	0.07531021535396576
trial_2	tadalafil	72	KG00103771	myalgias	0.07378290593624115
trial_2	tadalafil	126	KG00100076	Pain NOS	0.0737362876534462
trial_2	tadalafil	68	KG00099901	nauseas	0.07269217818975449
trial_2	tadalafil	139	KG00098855	Sinusitis, Ethmoid	0.0717669278383255
trial_2	tadalafil	4	KG00098817	epistaxis	0.07021865248680115
trial_2	tadalafil	200	KG00098539	Disorders, Deglutition	0.0688527449965477
trial_2	tadalafil	69	KG00100082	Palpitations NOS	0.06680148839950562
trial_2	tadalafil	228	KG00114657	Weight below normal	0.06444848328828812
trial_2	tadalafil	49	KG00099902	nausea with vomiting	0.06443781405687332
trial_2	tadalafil	396	KG00100373	Embolism, Pulmonary	0.06197343394160271
trial_2	tadalafil	61	KG00099501	Chronic Kidney Failure	0.061195895075798035
trial_2	tadalafil	138	KG00098796	epidemic vomiting syndrome	0.06115874648094177
trial_2	tadalafil	104	KG00097963	arthralgias	0.060126423835754395
trial_2	tadalafil	151	KG00098274	Infarction, Cerebral	0.05935576558113098
trial_2	tadalafil	131	KG00100948	Urinary tract infection (& [NOS])	0.0587754100561142
trial_2	tadalafil	77	KG00098450	Constipation NOS	0.05834319442510605
trial_2	tadalafil	243	KG00100947	Micturition frequency increased	0.05777401104569435
trial_2	tadalafil	2	KG00100772	thrombocytopaenia	0.057642862200737
trial_2	tadalafil	11	KG00097993	Asthma NOS	0.05656354874372482
trial_2	tadalafil	76	KG00100450	Respiratory insufficiency, NOS	0.05531091243028641
trial_2	tadalafil	5	KG00099169	haematuria	0.05418567731976509
trial_2	tadalafil	101	KG00097901	Anorexia NOS	0.053638212382793427
trial_2	tadalafil	276	KG00099127	Arrest, Cardiac	0.05246679112315178
trial_2	tadalafil	188	KG00101579	Aspartate aminotransferase increase	0.05194908753037453
trial_2	tadalafil	86	KG00098565	Depression, Mental	0.05092823505401611
trial_2	tadalafil	205	KG00098955	Flushed	0.0508917011320591
trial_2	tadalafil	441	KG00098262	cellulitis nos	0.050736818462610245
trial_2	tadalafil	456	KG00099420	Influenzae	0.05054095759987831
trial_2	tadalafil	180	KG00099363	Hypotension NOS	0.04959851875901222
trial_2	tadalafil	189	KG00101580	Alanine aminotransferase increase	0.04755932092666626
trial_2	tadalafil	28	KG00099347	hypoglycaemia	0.04689616709947586
trial_2	tadalafil	208	KG00099896	Nasal congestion (finding)	0.045888543128967285
trial_2	tadalafil	382	KG00099200	haemorrhoids	0.045430462807416916
trial_2	tadalafil	350	KG00106765	decreased platelet count	0.04541446268558502
trial_2	tadalafil	82	KG00097697	abdomen distended	0.044825319200754166
trial_2	tadalafil	36	KG00106434	Vision, Blurring Of	0.044403135776519775
trial_2	tadalafil	30	KG00099500	Acute Kidney Failure	0.04428625851869583
trial_2	tadalafil	221	KG00101207	peripheral oedema	0.04423927888274193
trial_2	tadalafil	92	KG00100926	Infections, Upper Respiratory	0.04174598678946495
trial_2	tadalafil	122	KG00099321	Hypersensitivity NOS	0.04163375869393349
trial_2	tadalafil	118	KG00099011	Gastritis NOS	0.04157168045639992
trial_2	tadalafil	96	KG00101679	Unattended death NOS	0.04130585119128227
trial_2	tadalafil	234	KG00098669	dysgeusias	0.04040035232901573
trial_2	tadalafil	269	KG00100399	pyaemia	0.04015246406197548
trial_2	tadalafil	422	KG00101429	Creatine phosphokinase increased	0.03978439420461655
trial_2	tadalafil	454	KG00098286	Pain, Neck	0.039561185985803604
trial_2	tadalafil	186	KG00101431	creatinine increased	0.039026129990816116
trial_2	tadalafil	356	KG00112623	Infectious Lung Disorders	0.03874272480607033
trial_2	tadalafil	508	KG00108565	blood glucose increased	0.0385420136153698
trial_2	tadalafil	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0383744090795517
trial_2	tadalafil	130	KG00100683	Stomatitis NOS	0.038347188383340836
trial_2	tadalafil	108	KG00098479	Cramp, Limb	0.038323625922203064
trial_2	tadalafil	22	KG00098705	Edema (NOS)	0.0379670225083828
trial_2	tadalafil	38	KG00098066	Binocular vision disorders	0.03785109892487526
trial_2	tadalafil	31	KG00099872	Infarction, Myocardial	0.03682420775294304
trial_2	tadalafil	286	KG00101110	Retention, Urinary	0.036283936351537704
trial_2	tadalafil	25	KG00099134	congestive failures heart	0.036167699843645096
trial_2	tadalafil	147	KG00098000	atelectases	0.035922370851039886
trial_2	tadalafil	466	KG00101205	fall	0.03482634946703911
trial_2	tadalafil	257	KG00100922	Erythema NOS	0.03478008136153221
trial_2	tadalafil	199	KG00098371	Rhinitis (chronic) NOS	0.03470958024263382
trial_2	tadalafil	75	KG00100195	Dolens, Phlegmasia Alba	0.03443707153201103
trial_2	tadalafil	136	KG00101582	Dry;skin	0.034429777413606644
trial_2	tadalafil	239	KG00100128	pareses	0.034342825412750244
trial_2	tadalafil	191	KG00104055	Biliverdin increased	0.03380611538887024
trial_2	tadalafil	211	KG00100341	Pruritus NOS	0.03372854366898537
trial_2	tadalafil	142	KG00100923	Unspecified infectious and parasitic diseases	0.03352593258023262
trial_2	tadalafil	361	KG00098004	Fibrillation, Atrial	0.03332022577524185
trial_2	tadalafil	102	KG00097916	anxieties	0.033000219613313675
trial_2	tadalafil	339	KG00100334	proteinurias	0.03182850778102875
trial_2	tadalafil	29	KG00099354	hyponatraemia	0.03156568482518196
trial_2	tadalafil	132	KG00101045	Gain, Weight	0.031070269644260406
trial_2	tadalafil	94	KG00103829	abdominal discomfort	0.031026851385831833
trial_2	tadalafil	33	KG00100094	Pancreatitis NOS	0.030591091141104698
trial_2	tadalafil	15	KG00097882	Angina pectoris NOS	0.030554212629795074
trial_2	tadalafil	40	KG00098092	Blepharoconjunctivitis NOS	0.030119650065898895
trial_2	tadalafil	164	KG00108827	ileus colon	0.029806967824697495
trial_2	tadalafil	195	KG00097814	Atopic Rhinitis	0.029485881328582764
trial_2	tadalafil	27	KG00099303	hyperkalaemia	0.0292824637144804
trial_2	tadalafil	397	KG00100456	Infections, Respiratory Tract	0.02890886552631855
