trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.01549623254686594
trial_2	tamsulosin	78	KG00099326	Hypertensive diseases	0.15526750683784485
trial_2	tamsulosin	87	KG00098599	diarrhoea	0.10065152496099472
trial_2	tamsulosin	9	KG00098432	Confusion NOS	0.08421744406223297
trial_2	tamsulosin	173	KG00098172	Bronchopneumonia NOS	0.06564482301473618
trial_2	tamsulosin	151	KG00098274	Infarction, Cerebral	0.05862240865826607
trial_2	tamsulosin	17	KG00097991	Asthenia NOS	0.0576852411031723
trial_2	tamsulosin	21	KG00098675	dyspnoea	0.05232585594058037
trial_2	tamsulosin	67	KG00098673	Dyspepsia, NOS	0.05225750058889389
trial_2	tamsulosin	123	KG00099351	hypokalaemia	0.05100467801094055
trial_2	tamsulosin	77	KG00098450	Constipation NOS	0.050690412521362305
trial_2	tamsulosin	46	KG00099121	Headache NOS	0.04974091425538063
trial_2	tamsulosin	79	KG00100317	Insomnia, Primary	0.04793128743767738
trial_2	tamsulosin	20	KG00098540	dehydration	0.04578842967748642
trial_2	tamsulosin	85	KG00098474	coughs	0.04541680961847305
trial_2	tamsulosin	177	KG00099299	hyperglycaemia	0.04431619867682457
trial_2	tamsulosin	200	KG00098539	Disorders, Deglutition	0.04099064692854881
trial_2	tamsulosin	18	KG00098307	Pain, Chest	0.040436260402202606
trial_2	tamsulosin	37	KG00097696	Cramps, Abdominal	0.038602277636528015
trial_2	tamsulosin	86	KG00098565	Depression, Mental	0.0382213294506073
trial_2	tamsulosin	180	KG00099363	Hypotension NOS	0.03612038865685463
trial_2	tamsulosin	300	KG00101064	xerostomia	0.03364994004368782
trial_2	tamsulosin	243	KG00100947	Micturition frequency increased	0.03355547413229942
trial_2	tamsulosin	96	KG00101679	Unattended death NOS	0.03297557681798935
trial_2	tamsulosin	64	KG00097734	Acrodermatitis, NOS	0.032746322453022
trial_2	tamsulosin	61	KG00099501	Chronic Kidney Failure	0.03225176781415939
trial_2	tamsulosin	286	KG00101110	Retention, Urinary	0.03167206421494484
trial_2	tamsulosin	15	KG00097882	Angina pectoris NOS	0.031637854874134064
trial_2	tamsulosin	138	KG00098796	epidemic vomiting syndrome	0.031499024480581284
trial_2	tamsulosin	396	KG00100373	Embolism, Pulmonary	0.03124036267399788
trial_2	tamsulosin	104	KG00097963	arthralgias	0.030929310247302055
trial_2	tamsulosin	30	KG00099500	Acute Kidney Failure	0.03003675676882267
trial_2	tamsulosin	126	KG00100076	Pain NOS	0.029961861670017242
trial_2	tamsulosin	132	KG00101045	Gain, Weight	0.029950527474284172
trial_2	tamsulosin	361	KG00098004	Fibrillation, Atrial	0.02897261269390583
trial_2	tamsulosin	31	KG00099872	Infarction, Myocardial	0.028644217178225517
trial_2	tamsulosin	114	KG00098933	fevers	0.028092781081795692
trial_2	tamsulosin	118	KG00099011	Gastritis NOS	0.02729467675089836
trial_2	tamsulosin	164	KG00108827	ileus colon	0.02720693312585354
trial_2	tamsulosin	14	KG00097852	Anemia NOS	0.026789754629135132
trial_2	tamsulosin	142	KG00100923	Unspecified infectious and parasitic diseases	0.026744112372398376
trial_2	tamsulosin	69	KG00100082	Palpitations NOS	0.026486817747354507
trial_2	tamsulosin	5	KG00099169	haematuria	0.02627227082848549
trial_2	tamsulosin	68	KG00099901	nauseas	0.026226185262203217
trial_2	tamsulosin	276	KG00099127	Arrest, Cardiac	0.02607569843530655
trial_2	tamsulosin	76	KG00100450	Respiratory insufficiency, NOS	0.026022961363196373
trial_2	tamsulosin	121	KG00099190	haemorrhage	0.0259084552526474
trial_2	tamsulosin	131	KG00100948	Urinary tract infection (& [NOS])	0.025861293077468872
trial_2	tamsulosin	139	KG00098855	Sinusitis, Ethmoid	0.025665519759058952
trial_2	tamsulosin	29	KG00099354	hyponatraemia	0.025426266714930534
trial_2	tamsulosin	122	KG00099321	Hypersensitivity NOS	0.025232361629605293
trial_2	tamsulosin	189	KG00101580	Alanine aminotransferase increase	0.0252260509878397
trial_2	tamsulosin	49	KG00099902	nausea with vomiting	0.024665692821145058
trial_2	tamsulosin	199	KG00098371	Rhinitis (chronic) NOS	0.02459239400923252
trial_2	tamsulosin	166	KG00099773	menopausal syndrome	0.024494126439094543
trial_2	tamsulosin	204	KG00098849	Esophagitis, Peptic	0.02447870373725891
trial_2	tamsulosin	203	KG00098661	dysarthrias	0.023825909942388535
trial_2	tamsulosin	28	KG00099347	hypoglycaemia	0.023764071986079216
trial_2	tamsulosin	11	KG00097993	Asthma NOS	0.023601487278938293
trial_2	tamsulosin	38	KG00098066	Binocular vision disorders	0.023184778168797493
trial_2	tamsulosin	75	KG00100195	Dolens, Phlegmasia Alba	0.02312631346285343
trial_2	tamsulosin	441	KG00098262	cellulitis nos	0.022900940850377083
trial_2	tamsulosin	228	KG00114657	Weight below normal	0.022761620581150055
trial_2	tamsulosin	36	KG00106434	Vision, Blurring Of	0.022313637658953667
trial_2	tamsulosin	235	KG00098682	Dysuria NOS	0.021604418754577637
trial_2	tamsulosin	382	KG00099200	haemorrhoids	0.02148822322487831
trial_2	tamsulosin	239	KG00100128	pareses	0.021344734355807304
trial_2	tamsulosin	188	KG00101579	Aspartate aminotransferase increase	0.020991479977965355
trial_2	tamsulosin	22	KG00098705	Edema (NOS)	0.020742440596222878
trial_2	tamsulosin	147	KG00098000	atelectases	0.020684408023953438
trial_2	tamsulosin	102	KG00097916	anxieties	0.020461242645978928
trial_2	tamsulosin	350	KG00106765	decreased platelet count	0.020284585654735565
trial_2	tamsulosin	25	KG00099134	congestive failures heart	0.020020512863993645
trial_2	tamsulosin	136	KG00101582	Dry;skin	0.020005470141768456
trial_2	tamsulosin	466	KG00101205	fall	0.01992921717464924
trial_2	tamsulosin	456	KG00099420	Influenzae	0.019824044778943062
trial_2	tamsulosin	371	KG00098517	Cystitis (NOS)	0.019790083169937134
trial_2	tamsulosin	269	KG00100399	pyaemia	0.01959361508488655
trial_2	tamsulosin	116	KG00098964	Pain in foot	0.018617497757077217
trial_2	tamsulosin	92	KG00100926	Infections, Upper Respiratory	0.01831335574388504
trial_2	tamsulosin	508	KG00108565	blood glucose increased	0.018300702795386314
trial_2	tamsulosin	4	KG00098817	epistaxis	0.01812172494828701
trial_2	tamsulosin	27	KG00099303	hyperkalaemia	0.017724398523569107
trial_2	tamsulosin	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.017377374693751335
trial_2	tamsulosin	152	KG00099402	INCONTINENCE NOS	0.017326802015304565
trial_2	tamsulosin	2	KG00100772	thrombocytopaenia	0.017320794984698296
trial_2	tamsulosin	366	KG00098275	Attack, Transient Ischemic	0.016948867589235306
trial_2	tamsulosin	163	KG00104050	bowel obstructions small	0.016851279884576797
trial_2	tamsulosin	263	KG00101519	Ischemia, Myocardial	0.016767635941505432
trial_2	tamsulosin	297	KG00099294	hypercholesterolaemia	0.016376497223973274
trial_2	tamsulosin	339	KG00100334	proteinurias	0.01634160801768303
trial_2	tamsulosin	310	KG00097940	Appendicitis NOS	0.01605331525206566
trial_2	tamsulosin	33	KG00100094	Pancreatitis NOS	0.0160162765532732
trial_2	tamsulosin	221	KG00101207	peripheral oedema	0.015987077727913857
trial_2	tamsulosin	356	KG00112623	Infectious Lung Disorders	0.01590040698647499
trial_2	tamsulosin	195	KG00097814	Atopic Rhinitis	0.01586300879716873
trial_2	tamsulosin	101	KG00097901	Anorexia NOS	0.015856994315981865
trial_2	tamsulosin	454	KG00098286	Pain, Neck	0.015720456838607788
trial_2	tamsulosin	271	KG00103813	reflex bradycardia	0.015694940462708473
trial_2	tamsulosin	94	KG00103829	abdominal discomfort	0.015547712333500385
trial_2	tamsulosin	130	KG00100683	Stomatitis NOS	0.01549623254686594
