trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_2	treprostinil	116	KG00098964	Pain in foot	0.04747610166668892
trial_2	treprostinil	72	KG00103771	myalgias	0.04631318897008896
trial_2	treprostinil	396	KG00100373	Embolism, Pulmonary	0.04565493389964104
trial_2	treprostinil	188	KG00101579	Aspartate aminotransferase increase	0.04520019516348839
trial_2	treprostinil	147	KG00098000	atelectases	0.043949324637651443
trial_2	treprostinil	189	KG00101580	Alanine aminotransferase increase	0.04345448687672615
trial_2	treprostinil	131	KG00100948	Urinary tract infection (& [NOS])	0.04065388813614845
trial_2	treprostinil	139	KG00098855	Sinusitis, Ethmoid	0.040096551179885864
trial_2	treprostinil	28	KG00099347	hypoglycaemia	0.03934108093380928
trial_2	treprostinil	228	KG00114657	Weight below normal	0.039265118539333344
trial_2	treprostinil	151	KG00098274	Infarction, Cerebral	0.03913324698805809
trial_2	treprostinil	350	KG00106765	decreased platelet count	0.03845055028796196
trial_2	treprostinil	276	KG00099127	Arrest, Cardiac	0.03826741874217987
trial_2	treprostinil	69	KG00100082	Palpitations NOS	0.03824131563305855
trial_2	treprostinil	30	KG00099500	Acute Kidney Failure	0.0376926027238369
trial_2	treprostinil	269	KG00100399	pyaemia	0.03557293117046356
trial_2	treprostinil	96	KG00101679	Unattended death NOS	0.035120293498039246
trial_2	treprostinil	101	KG00097901	Anorexia NOS	0.03471573814749718
trial_2	treprostinil	5	KG00099169	haematuria	0.034218866378068924
trial_2	treprostinil	142	KG00100923	Unspecified infectious and parasitic diseases	0.03314477577805519
trial_2	treprostinil	29	KG00099354	hyponatraemia	0.0329311266541481
trial_2	treprostinil	441	KG00098262	cellulitis nos	0.03285164758563042
trial_2	treprostinil	121	KG00099190	haemorrhage	0.03201781585812569
trial_2	treprostinil	243	KG00100947	Micturition frequency increased	0.031085627153515816
trial_2	treprostinil	204	KG00098849	Esophagitis, Peptic	0.030947016552090645
trial_2	treprostinil	27	KG00099303	hyperkalaemia	0.030895566567778587
trial_2	treprostinil	211	KG00100341	Pruritus NOS	0.030725492164492607
trial_2	treprostinil	138	KG00098796	epidemic vomiting syndrome	0.0303790383040905
trial_2	treprostinil	239	KG00100128	pareses	0.030298316851258278
trial_2	treprostinil	82	KG00097697	abdomen distended	0.030043376609683037
trial_2	treprostinil	122	KG00099321	Hypersensitivity NOS	0.029984120279550552
trial_2	treprostinil	221	KG00101207	peripheral oedema	0.0285826213657856
trial_2	treprostinil	253	KG00100232	Pleural effusion NOS (disorder)	0.02857011742889881
trial_2	treprostinil	4	KG00098817	epistaxis	0.028142012655735016
trial_2	treprostinil	75	KG00100195	Dolens, Phlegmasia Alba	0.027711160480976105
trial_2	treprostinil	11	KG00097993	Asthma NOS	0.027560701593756676
trial_2	treprostinil	268	KG00099557	Heart Failure, Left-Sided	0.025865737348794937
trial_2	treprostinil	31	KG00099872	Infarction, Myocardial	0.025324497371912003
trial_2	treprostinil	130	KG00100683	Stomatitis NOS	0.025082353502511978
trial_2	treprostinil	86	KG00098565	Depression, Mental	0.025033554062247276
trial_2	treprostinil	361	KG00098004	Fibrillation, Atrial	0.02492782473564148
trial_2	treprostinil	22	KG00098705	Edema (NOS)	0.024294842034578323
trial_2	treprostinil	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.024254657328128815
trial_2	treprostinil	205	KG00098955	Flushed	0.024233823642134666
trial_2	treprostinil	454	KG00098286	Pain, Neck	0.02392110787332058
trial_2	treprostinil	282	KG00099309	hypernatraemia	0.02358505316078663
trial_2	treprostinil	38	KG00098066	Binocular vision disorders	0.023524140939116478
trial_2	treprostinil	25	KG00099134	congestive failures heart	0.02342141792178154
trial_2	treprostinil	339	KG00100334	proteinurias	0.023385368287563324
trial_2	treprostinil	164	KG00108827	ileus colon	0.0233684740960598
trial_2	treprostinil	179	KG00099342	hypocalcaemia	0.02287263795733452
trial_2	treprostinil	208	KG00099896	Nasal congestion (finding)	0.022745033726096153
trial_2	treprostinil	286	KG00101110	Retention, Urinary	0.02263050153851509
trial_2	treprostinil	92	KG00100926	Infections, Upper Respiratory	0.02257833257317543
trial_2	treprostinil	102	KG00097916	anxieties	0.02214997448027134
trial_2	treprostinil	166	KG00099773	menopausal syndrome	0.022070016711950302
trial_2	treprostinil	191	KG00104055	Biliverdin increased	0.0218889731913805
trial_2	treprostinil	356	KG00112623	Infectious Lung Disorders	0.021043067798018456
trial_2	treprostinil	35	KG00101507	hypomagnesaemia	0.02086467668414116
trial_2	treprostinil	394	KG00100243	Pneumonia, Aspiration	0.02045384608209133
trial_2	treprostinil	257	KG00100922	Erythema NOS	0.020191997289657593
trial_2	treprostinil	261	KG00101559	raised alkaline phosphatase	0.01970905065536499
trial_2	treprostinil	249	KG00104430	hypoalbuminaemia	0.019638672471046448
trial_2	treprostinil	382	KG00099200	haemorrhoids	0.019510429352521896
trial_2	treprostinil	194	KG00110727	Neutrophil Count Decreased	0.019493993371725082
trial_2	treprostinil	15	KG00097882	Angina pectoris NOS	0.019390149042010307
trial_2	treprostinil	288	KG00101223	hypophosphataemia	0.019369453191757202
trial_2	treprostinil	163	KG00104050	bowel obstructions small	0.01927652768790722
trial_2	treprostinil	33	KG00100094	Pancreatitis NOS	0.019242901355028152
trial_2	treprostinil	144	KG00099610	Leukopenia NOS	0.01924012415111065
trial_2	treprostinil	118	KG00099011	Gastritis NOS	0.019128920510411263
trial_2	treprostinil	36	KG00106434	Vision, Blurring Of	0.018981538712978363
