trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	234	KG00098669	dysgeusias	0.0343240424990654
trial_1	placebo	456	KG00099420	Influenzae	0.0341954380273819
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.03382173180580139
trial_1	placebo	130	KG00100683	Stomatitis NOS	0.03372306376695633
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03371597081422806
trial_1	placebo	136	KG00101582	Dry;skin	0.03361634165048599
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.03301335126161575
trial_1	placebo	454	KG00098286	Pain, Neck	0.03292136639356613
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.03281430900096893
trial_1	placebo	256	KG00100738	Tachycardia, Sinus	0.032770365476608276
trial_1	placebo	286	KG00101110	Retention, Urinary	0.03273417428135872
trial_1	placebo	195	KG00097814	Atopic Rhinitis	0.03159676492214203
trial_1	placebo	121	KG00099190	haemorrhage	0.031551528722047806
trial_1	placebo	382	KG00099200	haemorrhoids	0.03139368072152138
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.031351976096630096
trial_1	placebo	144	KG00099610	Leukopenia NOS	0.03134097903966904
trial_2	triclabendazole	87	KG00098599	diarrhoea	0.2822275459766388
trial_2	triclabendazole	78	KG00099326	Hypertensive diseases	0.2377219945192337
trial_2	triclabendazole	189	KG00101580	Alanine aminotransferase increase	0.16004426777362823
trial_2	triclabendazole	20	KG00098540	dehydration	0.147118479013443
trial_2	triclabendazole	123	KG00099351	hypokalaemia	0.1417284905910492
trial_2	triclabendazole	188	KG00101579	Aspartate aminotransferase increase	0.14083679020404816
trial_2	triclabendazole	173	KG00098172	Bronchopneumonia NOS	0.14006930589675903
trial_2	triclabendazole	228	KG00114657	Weight below normal	0.1391766369342804
trial_2	triclabendazole	17	KG00097991	Asthenia NOS	0.13730648159980774
trial_2	triclabendazole	177	KG00099299	hyperglycaemia	0.13590683043003082
trial_2	triclabendazole	9	KG00098432	Confusion NOS	0.1223154067993164
trial_2	triclabendazole	37	KG00097696	Cramps, Abdominal	0.11922326683998108
trial_2	triclabendazole	46	KG00099121	Headache NOS	0.11386901140213013
trial_2	triclabendazole	68	KG00099901	nauseas	0.11270451545715332
trial_2	triclabendazole	67	KG00098673	Dyspepsia, NOS	0.10908181220293045
trial_2	triclabendazole	21	KG00098675	dyspnoea	0.10702528804540634
trial_2	triclabendazole	64	KG00097734	Acrodermatitis, NOS	0.10640675574541092
trial_2	triclabendazole	49	KG00099902	nausea with vomiting	0.10398826003074646
trial_2	triclabendazole	200	KG00098539	Disorders, Deglutition	0.10232172161340714
trial_2	triclabendazole	350	KG00106765	decreased platelet count	0.09205421805381775
trial_2	triclabendazole	29	KG00099354	hyponatraemia	0.09137280285358429
trial_2	triclabendazole	79	KG00100317	Insomnia, Primary	0.08893043547868729
trial_2	triclabendazole	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.08599449694156647
trial_2	triclabendazole	243	KG00100947	Micturition frequency increased	0.08581919968128204
trial_2	triclabendazole	101	KG00097901	Anorexia NOS	0.08553405851125717
trial_2	triclabendazole	77	KG00098450	Constipation NOS	0.0842154398560524
trial_2	triclabendazole	114	KG00098933	fevers	0.08066540956497192
trial_2	triclabendazole	239	KG00100128	pareses	0.08059538155794144
trial_2	triclabendazole	14	KG00097852	Anemia NOS	0.07644787430763245
trial_2	triclabendazole	85	KG00098474	coughs	0.07247991859912872
trial_2	triclabendazole	126	KG00100076	Pain NOS	0.0718773603439331
trial_2	triclabendazole	86	KG00098565	Depression, Mental	0.07044604420661926
trial_2	triclabendazole	104	KG00097963	arthralgias	0.07042312622070312
trial_2	triclabendazole	2	KG00100772	thrombocytopaenia	0.06502047181129456
trial_2	triclabendazole	194	KG00110727	Neutrophil Count Decreased	0.06473427265882492
trial_2	triclabendazole	179	KG00099342	hypocalcaemia	0.06288334727287292
trial_2	triclabendazole	27	KG00099303	hyperkalaemia	0.06266321241855621
trial_2	triclabendazole	151	KG00098274	Infarction, Cerebral	0.06147858873009682
trial_2	triclabendazole	5	KG00099169	haematuria	0.060590051114559174
trial_2	triclabendazole	139	KG00098855	Sinusitis, Ethmoid	0.05968105047941208
trial_2	triclabendazole	76	KG00100450	Respiratory insufficiency, NOS	0.059559278190135956
trial_2	triclabendazole	355	KG00110857	lymphocyte count decreased	0.059484560042619705
trial_2	triclabendazole	72	KG00103771	myalgias	0.05927746370434761
trial_2	triclabendazole	261	KG00101559	raised alkaline phosphatase	0.05788790062069893
trial_2	triclabendazole	122	KG00099321	Hypersensitivity NOS	0.05736798793077469
trial_2	triclabendazole	38	KG00098066	Binocular vision disorders	0.057204969227313995
trial_2	triclabendazole	61	KG00099501	Chronic Kidney Failure	0.05594630539417267
trial_2	triclabendazole	28	KG00099347	hypoglycaemia	0.05515741929411888
trial_2	triclabendazole	131	KG00100948	Urinary tract infection (& [NOS])	0.05302715301513672
trial_2	triclabendazole	191	KG00104055	Biliverdin increased	0.05072759836912155
trial_2	triclabendazole	180	KG00099363	Hypotension NOS	0.05064421892166138
trial_2	triclabendazole	282	KG00099309	hypernatraemia	0.05041380599141121
trial_2	triclabendazole	116	KG00098964	Pain in foot	0.050149768590927124
trial_2	triclabendazole	147	KG00098000	atelectases	0.05008642375469208
trial_2	triclabendazole	341	KG00101472	Gamma-glutamyltransferase increased	0.04994409531354904
trial_2	triclabendazole	102	KG00097916	anxieties	0.04992704093456268
trial_2	triclabendazole	96	KG00101679	Unattended death NOS	0.04938893020153046
trial_2	triclabendazole	30	KG00099500	Acute Kidney Failure	0.049163300544023514
trial_2	triclabendazole	82	KG00097697	abdomen distended	0.048285067081451416
trial_2	triclabendazole	36	KG00106434	Vision, Blurring Of	0.044862050563097
trial_2	triclabendazole	262	KG00101199	agitation	0.04429537057876587
trial_2	triclabendazole	132	KG00101045	Gain, Weight	0.043561145663261414
trial_2	triclabendazole	276	KG00099127	Arrest, Cardiac	0.042083144187927246
trial_2	triclabendazole	18	KG00098307	Pain, Chest	0.041704609990119934
trial_2	triclabendazole	249	KG00104430	hypoalbuminaemia	0.0415445901453495
trial_2	triclabendazole	97	KG00104198	LIVER ENZYME ELEVATED	0.04134573042392731
trial_2	triclabendazole	466	KG00101205	fall	0.04105495288968086
trial_2	triclabendazole	396	KG00100373	Embolism, Pulmonary	0.04053902253508568
trial_2	triclabendazole	204	KG00098849	Esophagitis, Peptic	0.04020778089761734
trial_2	triclabendazole	69	KG00100082	Palpitations NOS	0.039944857358932495
trial_2	triclabendazole	35	KG00101507	hypomagnesaemia	0.03947361558675766
trial_2	triclabendazole	142	KG00100923	Unspecified infectious and parasitic diseases	0.03860609978437424
trial_2	triclabendazole	288	KG00101223	hypophosphataemia	0.038604363799095154
trial_2	triclabendazole	186	KG00101431	creatinine increased	0.038509152829647064
trial_2	triclabendazole	269	KG00100399	pyaemia	0.03826698288321495
trial_2	triclabendazole	92	KG00100926	Infections, Upper Respiratory	0.03825732320547104
trial_2	triclabendazole	422	KG00101429	Creatine phosphokinase increased	0.037936072796583176
trial_2	triclabendazole	339	KG00100334	proteinurias	0.03747015446424484
trial_2	triclabendazole	33	KG00100094	Pancreatitis NOS	0.036922622472047806
trial_2	triclabendazole	164	KG00108827	ileus colon	0.03655963018536568
trial_2	triclabendazole	154	KG00099686	Lymphopenias	0.03586765006184578
trial_2	triclabendazole	441	KG00098262	cellulitis nos	0.0348246768116951
trial_2	triclabendazole	508	KG00108565	blood glucose increased	0.03474494069814682
trial_2	triclabendazole	356	KG00112623	Infectious Lung Disorders	0.03443906083703041
trial_2	triclabendazole	234	KG00098669	dysgeusias	0.0343240424990654
trial_2	triclabendazole	456	KG00099420	Influenzae	0.0341954380273819
trial_2	triclabendazole	98	KG00097718	Incised wound, NOS	0.03382173180580139
trial_2	triclabendazole	130	KG00100683	Stomatitis NOS	0.03372306376695633
trial_2	triclabendazole	253	KG00100232	Pleural effusion NOS (disorder)	0.03371597081422806
trial_2	triclabendazole	136	KG00101582	Dry;skin	0.03361634165048599
trial_2	triclabendazole	138	KG00098796	epidemic vomiting syndrome	0.03301335126161575
trial_2	triclabendazole	454	KG00098286	Pain, Neck	0.03292136639356613
trial_2	triclabendazole	371	KG00098517	Cystitis (NOS)	0.03281430900096893
trial_2	triclabendazole	256	KG00100738	Tachycardia, Sinus	0.032770365476608276
trial_2	triclabendazole	286	KG00101110	Retention, Urinary	0.03273417428135872
trial_2	triclabendazole	195	KG00097814	Atopic Rhinitis	0.03159676492214203
trial_2	triclabendazole	121	KG00099190	haemorrhage	0.031551528722047806
trial_2	triclabendazole	382	KG00099200	haemorrhoids	0.03139368072152138
trial_2	triclabendazole	75	KG00100195	Dolens, Phlegmasia Alba	0.031351976096630096
trial_2	triclabendazole	144	KG00099610	Leukopenia NOS	0.03134097903966904
