trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	221	KG00101207	peripheral oedema	0.02388104796409607
trial_1	placebo	118	KG00099011	Gastritis NOS	0.0237259641289711
trial_1	placebo	4	KG00098817	epistaxis	0.023620499297976494
trial_1	placebo	100	KG00097815	alopecias	0.02352646365761757
trial_1	placebo	454	KG00098286	Pain, Neck	0.023256631568074226
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.023022715002298355
trial_1	placebo	211	KG00100341	Pruritus NOS	0.022874467074871063
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.022646984085440636
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.022538872435688972
trial_1	placebo	262	KG00101199	agitation	0.022251270711421967
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.022072987630963326
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.02117917127907276
trial_2	pranlukast	87	KG00098599	diarrhoea	0.14859294891357422
trial_2	pranlukast	78	KG00099326	Hypertensive diseases	0.14075683057308197
trial_2	pranlukast	173	KG00098172	Bronchopneumonia NOS	0.10956257581710815
trial_2	pranlukast	123	KG00099351	hypokalaemia	0.10046021640300751
trial_2	pranlukast	177	KG00099299	hyperglycaemia	0.09566468000411987
trial_2	pranlukast	189	KG00101580	Alanine aminotransferase increase	0.09331531077623367
trial_2	pranlukast	20	KG00098540	dehydration	0.08893723040819168
trial_2	pranlukast	17	KG00097991	Asthenia NOS	0.0836593434214592
trial_2	pranlukast	188	KG00101579	Aspartate aminotransferase increase	0.0803145095705986
trial_2	pranlukast	37	KG00097696	Cramps, Abdominal	0.07819955050945282
trial_2	pranlukast	46	KG00099121	Headache NOS	0.07329243421554565
trial_2	pranlukast	9	KG00098432	Confusion NOS	0.072098009288311
trial_2	pranlukast	79	KG00100317	Insomnia, Primary	0.06749260425567627
trial_2	pranlukast	21	KG00098675	dyspnoea	0.06727392971515656
trial_2	pranlukast	114	KG00098933	fevers	0.06601973623037338
trial_2	pranlukast	49	KG00099902	nausea with vomiting	0.06559567898511887
trial_2	pranlukast	85	KG00098474	coughs	0.06291159242391586
trial_2	pranlukast	67	KG00098673	Dyspepsia, NOS	0.06279705464839935
trial_2	pranlukast	200	KG00098539	Disorders, Deglutition	0.06045239046216011
trial_2	pranlukast	64	KG00097734	Acrodermatitis, NOS	0.05847754701972008
trial_2	pranlukast	77	KG00098450	Constipation NOS	0.05836546793580055
trial_2	pranlukast	68	KG00099901	nauseas	0.056736502796411514
trial_2	pranlukast	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.056242141872644424
trial_2	pranlukast	14	KG00097852	Anemia NOS	0.055810101330280304
trial_2	pranlukast	104	KG00097963	arthralgias	0.054240934550762177
trial_2	pranlukast	350	KG00106765	decreased platelet count	0.0534643828868866
trial_2	pranlukast	243	KG00100947	Micturition frequency increased	0.05339587852358818
trial_2	pranlukast	5	KG00099169	haematuria	0.05112970992922783
trial_2	pranlukast	139	KG00098855	Sinusitis, Ethmoid	0.04792414978146553
trial_2	pranlukast	2	KG00100772	thrombocytopaenia	0.04769589751958847
trial_2	pranlukast	126	KG00100076	Pain NOS	0.04728526249527931
trial_2	pranlukast	72	KG00103771	myalgias	0.04530661925673485
trial_2	pranlukast	122	KG00099321	Hypersensitivity NOS	0.045168258249759674
trial_2	pranlukast	86	KG00098565	Depression, Mental	0.04488348960876465
trial_2	pranlukast	76	KG00100450	Respiratory insufficiency, NOS	0.044810906052589417
trial_2	pranlukast	151	KG00098274	Infarction, Cerebral	0.04468616098165512
trial_2	pranlukast	29	KG00099354	hyponatraemia	0.042666491121053696
trial_2	pranlukast	194	KG00110727	Neutrophil Count Decreased	0.042269330471754074
trial_2	pranlukast	228	KG00114657	Weight below normal	0.03927183896303177
trial_2	pranlukast	131	KG00100948	Urinary tract infection (& [NOS])	0.03760582208633423
trial_2	pranlukast	92	KG00100926	Infections, Upper Respiratory	0.037372492253780365
trial_2	pranlukast	30	KG00099500	Acute Kidney Failure	0.036845892667770386
trial_2	pranlukast	116	KG00098964	Pain in foot	0.03639241307973862
trial_2	pranlukast	180	KG00099363	Hypotension NOS	0.036170974373817444
trial_2	pranlukast	61	KG00099501	Chronic Kidney Failure	0.03612799197435379
trial_2	pranlukast	355	KG00110857	lymphocyte count decreased	0.03612368553876877
trial_2	pranlukast	28	KG00099347	hypoglycaemia	0.035350240767002106
trial_2	pranlukast	239	KG00100128	pareses	0.035245396196842194
trial_2	pranlukast	261	KG00101559	raised alkaline phosphatase	0.03484613448381424
trial_2	pranlukast	96	KG00101679	Unattended death NOS	0.03395741432905197
trial_2	pranlukast	199	KG00098371	Rhinitis (chronic) NOS	0.03309246897697449
trial_2	pranlukast	341	KG00101472	Gamma-glutamyltransferase increased	0.03262472525238991
trial_2	pranlukast	18	KG00098307	Pain, Chest	0.03240175172686577
trial_2	pranlukast	27	KG00099303	hyperkalaemia	0.03219345957040787
trial_2	pranlukast	138	KG00098796	epidemic vomiting syndrome	0.03202985227108002
trial_2	pranlukast	456	KG00099420	Influenzae	0.0318962037563324
trial_2	pranlukast	147	KG00098000	atelectases	0.03172781690955162
trial_2	pranlukast	422	KG00101429	Creatine phosphokinase increased	0.03145848587155342
trial_2	pranlukast	396	KG00100373	Embolism, Pulmonary	0.03126717731356621
trial_2	pranlukast	179	KG00099342	hypocalcaemia	0.03117716871201992
trial_2	pranlukast	186	KG00101431	creatinine increased	0.030957672744989395
trial_2	pranlukast	204	KG00098849	Esophagitis, Peptic	0.030914708971977234
trial_2	pranlukast	195	KG00097814	Atopic Rhinitis	0.030837416648864746
trial_2	pranlukast	144	KG00099610	Leukopenia NOS	0.030488425865769386
trial_2	pranlukast	276	KG00099127	Arrest, Cardiac	0.030197449028491974
trial_2	pranlukast	130	KG00100683	Stomatitis NOS	0.029841136187314987
trial_2	pranlukast	102	KG00097916	anxieties	0.029587799683213234
trial_2	pranlukast	191	KG00104055	Biliverdin increased	0.02955767512321472
trial_2	pranlukast	297	KG00099294	hypercholesterolaemia	0.029252037405967712
trial_2	pranlukast	38	KG00098066	Binocular vision disorders	0.029028713703155518
trial_2	pranlukast	69	KG00100082	Palpitations NOS	0.028517719358205795
trial_2	pranlukast	82	KG00097697	abdomen distended	0.027767173945903778
trial_2	pranlukast	1	KG00099959	Neutropenia NOS	0.027655409649014473
trial_2	pranlukast	101	KG00097901	Anorexia NOS	0.02765030786395073
trial_2	pranlukast	508	KG00108565	blood glucose increased	0.027528541162610054
trial_2	pranlukast	11	KG00097993	Asthma NOS	0.026557601988315582
trial_2	pranlukast	164	KG00108827	ileus colon	0.02613632008433342
trial_2	pranlukast	142	KG00100923	Unspecified infectious and parasitic diseases	0.026048434898257256
trial_2	pranlukast	466	KG00101205	fall	0.025899874046444893
trial_2	pranlukast	154	KG00099686	Lymphopenias	0.02578892931342125
trial_2	pranlukast	97	KG00104198	LIVER ENZYME ELEVATED	0.025690840557217598
trial_2	pranlukast	234	KG00098669	dysgeusias	0.02548624947667122
trial_2	pranlukast	132	KG00101045	Gain, Weight	0.0249270498752594
trial_2	pranlukast	269	KG00100399	pyaemia	0.024529607966542244
trial_2	pranlukast	282	KG00099309	hypernatraemia	0.024433249607682228
trial_2	pranlukast	371	KG00098517	Cystitis (NOS)	0.024381881579756737
trial_2	pranlukast	36	KG00106434	Vision, Blurring Of	0.024257974699139595
trial_2	pranlukast	441	KG00098262	cellulitis nos	0.02398981899023056
trial_2	pranlukast	221	KG00101207	peripheral oedema	0.02388104796409607
trial_2	pranlukast	118	KG00099011	Gastritis NOS	0.0237259641289711
trial_2	pranlukast	4	KG00098817	epistaxis	0.023620499297976494
trial_2	pranlukast	100	KG00097815	alopecias	0.02352646365761757
trial_2	pranlukast	454	KG00098286	Pain, Neck	0.023256631568074226
trial_2	pranlukast	35	KG00101507	hypomagnesaemia	0.023022715002298355
trial_2	pranlukast	211	KG00100341	Pruritus NOS	0.022874467074871063
trial_2	pranlukast	98	KG00097718	Incised wound, NOS	0.022646984085440636
trial_2	pranlukast	361	KG00098004	Fibrillation, Atrial	0.022538872435688972
trial_2	pranlukast	262	KG00101199	agitation	0.022251270711421967
trial_2	pranlukast	75	KG00100195	Dolens, Phlegmasia Alba	0.022072987630963326
trial_2	pranlukast	249	KG00104430	hypoalbuminaemia	0.02117917127907276
