trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_2	phensuximide	77	KG00098450	Constipation NOS	0.13931697607040405
trial_2	phensuximide	68	KG00099901	nauseas	0.13336780667304993
trial_2	phensuximide	20	KG00098540	dehydration	0.13285624980926514
trial_2	phensuximide	79	KG00100317	Insomnia, Primary	0.1323380470275879
trial_2	phensuximide	123	KG00099351	hypokalaemia	0.13135114312171936
trial_2	phensuximide	21	KG00098675	dyspnoea	0.1284734308719635
trial_2	phensuximide	14	KG00097852	Anemia NOS	0.12743529677391052
trial_2	phensuximide	228	KG00114657	Weight below normal	0.12223958224058151
trial_2	phensuximide	49	KG00099902	nausea with vomiting	0.11597085744142532
trial_2	phensuximide	46	KG00099121	Headache NOS	0.11391624063253403
trial_2	phensuximide	189	KG00101580	Alanine aminotransferase increase	0.11247110366821289
trial_2	phensuximide	37	KG00097696	Cramps, Abdominal	0.10955904424190521
trial_2	phensuximide	188	KG00101579	Aspartate aminotransferase increase	0.10078530758619308
trial_2	phensuximide	67	KG00098673	Dyspepsia, NOS	0.09795987606048584
trial_2	phensuximide	200	KG00098539	Disorders, Deglutition	0.09397168457508087
trial_2	phensuximide	2	KG00100772	thrombocytopaenia	0.09143330901861191
trial_2	phensuximide	350	KG00106765	decreased platelet count	0.08778729289770126
trial_2	phensuximide	114	KG00098933	fevers	0.08657973259687424
trial_2	phensuximide	101	KG00097901	Anorexia NOS	0.08655648678541183
trial_2	phensuximide	29	KG00099354	hyponatraemia	0.0840555876493454
trial_2	phensuximide	151	KG00098274	Infarction, Cerebral	0.08328846096992493
trial_2	phensuximide	76	KG00100450	Respiratory insufficiency, NOS	0.08012623339891434
trial_2	phensuximide	104	KG00097963	arthralgias	0.08010198920965195
trial_2	phensuximide	64	KG00097734	Acrodermatitis, NOS	0.0800156369805336
trial_2	phensuximide	239	KG00100128	pareses	0.0781412422657013
trial_2	phensuximide	86	KG00098565	Depression, Mental	0.07683544605970383
trial_2	phensuximide	180	KG00099363	Hypotension NOS	0.0727078840136528
trial_2	phensuximide	30	KG00099500	Acute Kidney Failure	0.0722617655992508
trial_2	phensuximide	85	KG00098474	coughs	0.0709245428442955
trial_2	phensuximide	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.06943371146917343
trial_2	phensuximide	28	KG00099347	hypoglycaemia	0.06495330482721329
trial_2	phensuximide	243	KG00100947	Micturition frequency increased	0.06410074979066849
trial_2	phensuximide	61	KG00099501	Chronic Kidney Failure	0.0636354610323906
trial_2	phensuximide	102	KG00097916	anxieties	0.06359358131885529
trial_2	phensuximide	131	KG00100948	Urinary tract infection (& [NOS])	0.06295949965715408
trial_2	phensuximide	116	KG00098964	Pain in foot	0.0622808076441288
trial_2	phensuximide	126	KG00100076	Pain NOS	0.06092658266425133
trial_2	phensuximide	72	KG00103771	myalgias	0.0599234513938427
trial_2	phensuximide	139	KG00098855	Sinusitis, Ethmoid	0.05799684673547745
trial_2	phensuximide	132	KG00101045	Gain, Weight	0.057938553392887115
trial_2	phensuximide	466	KG00101205	fall	0.057670995593070984
trial_2	phensuximide	18	KG00098307	Pain, Chest	0.0560738779604435
trial_2	phensuximide	5	KG00099169	haematuria	0.05572902783751488
trial_2	phensuximide	27	KG00099303	hyperkalaemia	0.05430569872260094
trial_2	phensuximide	396	KG00100373	Embolism, Pulmonary	0.05209801346063614
trial_2	phensuximide	276	KG00099127	Arrest, Cardiac	0.05197001248598099
trial_2	phensuximide	147	KG00098000	atelectases	0.04957389086484909
trial_2	phensuximide	269	KG00100399	pyaemia	0.049016304314136505
trial_2	phensuximide	262	KG00101199	agitation	0.048935916274785995
trial_2	phensuximide	164	KG00108827	ileus colon	0.046179499477148056
trial_2	phensuximide	179	KG00099342	hypocalcaemia	0.04529108852148056
trial_2	phensuximide	194	KG00110727	Neutrophil Count Decreased	0.04502243176102638
trial_2	phensuximide	82	KG00097697	abdomen distended	0.04473661258816719
trial_2	phensuximide	69	KG00100082	Palpitations NOS	0.04458159953355789
trial_2	phensuximide	92	KG00100926	Infections, Upper Respiratory	0.044538795948028564
trial_2	phensuximide	38	KG00098066	Binocular vision disorders	0.0444234274327755
trial_2	phensuximide	144	KG00099610	Leukopenia NOS	0.043514642864465714
trial_2	phensuximide	11	KG00097993	Asthma NOS	0.04285438358783722
trial_2	phensuximide	253	KG00100232	Pleural effusion NOS (disorder)	0.04213273897767067
trial_2	phensuximide	75	KG00100195	Dolens, Phlegmasia Alba	0.0418044812977314
trial_2	phensuximide	422	KG00101429	Creatine phosphokinase increased	0.04153550788760185
trial_2	phensuximide	341	KG00101472	Gamma-glutamyltransferase increased	0.04133160412311554
trial_2	phensuximide	261	KG00101559	raised alkaline phosphatase	0.0412953682243824
trial_2	phensuximide	15	KG00097882	Angina pectoris NOS	0.04042021930217743
trial_2	phensuximide	122	KG00099321	Hypersensitivity NOS	0.04023949056863785
trial_2	phensuximide	96	KG00101679	Unattended death NOS	0.0400196872651577
trial_2	phensuximide	1	KG00099959	Neutropenia NOS	0.039995111525058746
trial_2	phensuximide	204	KG00098849	Esophagitis, Peptic	0.03958354890346527
trial_2	phensuximide	456	KG00099420	Influenzae	0.03927583247423172
trial_2	phensuximide	36	KG00106434	Vision, Blurring Of	0.03922980651259422
trial_2	phensuximide	355	KG00110857	lymphocyte count decreased	0.03909403458237648
trial_2	phensuximide	441	KG00098262	cellulitis nos	0.038892898708581924
trial_2	phensuximide	191	KG00104055	Biliverdin increased	0.038252636790275574
trial_2	phensuximide	242	KG00100855	tremors	0.03807052597403526
trial_2	phensuximide	282	KG00099309	hypernatraemia	0.03792213648557663
trial_2	phensuximide	394	KG00100243	Pneumonia, Aspiration	0.03782491013407707
trial_2	phensuximide	66	KG00098642	drowsiness	0.037713535130023956
trial_2	phensuximide	221	KG00101207	peripheral oedema	0.037319932132959366
trial_2	phensuximide	286	KG00101110	Retention, Urinary	0.037181731313467026
trial_2	phensuximide	153	KG00099579	lethargy	0.03646356239914894
trial_2	phensuximide	199	KG00098371	Rhinitis (chronic) NOS	0.036339208483695984
trial_2	phensuximide	98	KG00097718	Incised wound, NOS	0.03629012405872345
trial_2	phensuximide	33	KG00100094	Pancreatitis NOS	0.03616504743695259
trial_2	phensuximide	361	KG00098004	Fibrillation, Atrial	0.035831473767757416
trial_2	phensuximide	234	KG00098669	dysgeusias	0.0357627272605896
trial_2	phensuximide	186	KG00101431	creatinine increased	0.0356503427028656
trial_2	phensuximide	97	KG00104198	LIVER ENZYME ELEVATED	0.03561732545495033
trial_2	phensuximide	138	KG00098796	epidemic vomiting syndrome	0.03505954146385193
trial_2	phensuximide	508	KG00108565	blood glucose increased	0.03478149697184563
trial_2	phensuximide	345	KG00103926	impairments memory	0.03444333374500275
trial_2	phensuximide	166	KG00099773	menopausal syndrome	0.034378424286842346
trial_2	phensuximide	35	KG00101507	hypomagnesaemia	0.033914901316165924
trial_2	phensuximide	288	KG00101223	hypophosphataemia	0.03383638709783554
trial_2	phensuximide	130	KG00100683	Stomatitis NOS	0.03373892232775688
