trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	246	KG00103338	Aspartate Aminotransferase Measurement	0.01701510325074196
trial_1	placebo	508	KG00108565	blood glucose increased	0.016859158873558044
trial_1	placebo	261	KG00101559	raised alkaline phosphatase	0.016766535118222237
trial_1	placebo	262	KG00101199	agitation	0.016653651371598244
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.01646680012345314
trial_1	placebo	382	KG00099200	haemorrhoids	0.016384931281208992
trial_1	placebo	82	KG00097697	abdomen distended	0.016310418024659157
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.016226040199398994
trial_1	placebo	466	KG00101205	fall	0.016149425879120827
trial_1	placebo	4	KG00098817	epistaxis	0.016051724553108215
trial_1	placebo	22	KG00098705	Edema (NOS)	0.016011828556656837
trial_1	placebo	221	KG00101207	peripheral oedema	0.0157625749707222
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.015682443976402283
trial_2	estramustine phosphate	78	KG00099326	Hypertensive diseases	0.11606483161449432
trial_2	estramustine phosphate	17	KG00097991	Asthenia NOS	0.0994504764676094
trial_2	estramustine phosphate	177	KG00099299	hyperglycaemia	0.09151569753885269
trial_2	estramustine phosphate	46	KG00099121	Headache NOS	0.07392427325248718
trial_2	estramustine phosphate	87	KG00098599	diarrhoea	0.07389375567436218
trial_2	estramustine phosphate	79	KG00100317	Insomnia, Primary	0.06763894855976105
trial_2	estramustine phosphate	9	KG00098432	Confusion NOS	0.06531620770692825
trial_2	estramustine phosphate	173	KG00098172	Bronchopneumonia NOS	0.06187241151928902
trial_2	estramustine phosphate	21	KG00098675	dyspnoea	0.061520032584667206
trial_2	estramustine phosphate	123	KG00099351	hypokalaemia	0.0575869120657444
trial_2	estramustine phosphate	68	KG00099901	nauseas	0.05658227205276489
trial_2	estramustine phosphate	37	KG00097696	Cramps, Abdominal	0.05483492463827133
trial_2	estramustine phosphate	67	KG00098673	Dyspepsia, NOS	0.05243048816919327
trial_2	estramustine phosphate	122	KG00099321	Hypersensitivity NOS	0.05048343911767006
trial_2	estramustine phosphate	126	KG00100076	Pain NOS	0.05040498450398445
trial_2	estramustine phosphate	14	KG00097852	Anemia NOS	0.04943206161260605
trial_2	estramustine phosphate	20	KG00098540	dehydration	0.04829091578722
trial_2	estramustine phosphate	200	KG00098539	Disorders, Deglutition	0.04704733565449715
trial_2	estramustine phosphate	72	KG00103771	myalgias	0.047020867466926575
trial_2	estramustine phosphate	2	KG00100772	thrombocytopaenia	0.04700765013694763
trial_2	estramustine phosphate	114	KG00098933	fevers	0.04697619006037712
trial_2	estramustine phosphate	49	KG00099902	nausea with vomiting	0.04647079110145569
trial_2	estramustine phosphate	77	KG00098450	Constipation NOS	0.04615522548556328
trial_2	estramustine phosphate	64	KG00097734	Acrodermatitis, NOS	0.04094773530960083
trial_2	estramustine phosphate	104	KG00097963	arthralgias	0.04009322077035904
trial_2	estramustine phosphate	85	KG00098474	coughs	0.03901291638612747
trial_2	estramustine phosphate	86	KG00098565	Depression, Mental	0.03868002071976662
trial_2	estramustine phosphate	100	KG00097815	alopecias	0.037843476980924606
trial_2	estramustine phosphate	243	KG00100947	Micturition frequency increased	0.035907238721847534
trial_2	estramustine phosphate	228	KG00114657	Weight below normal	0.035042017698287964
trial_2	estramustine phosphate	166	KG00099773	menopausal syndrome	0.03452775999903679
trial_2	estramustine phosphate	189	KG00101580	Alanine aminotransferase increase	0.034360650926828384
trial_2	estramustine phosphate	350	KG00106765	decreased platelet count	0.033932898193597794
trial_2	estramustine phosphate	29	KG00099354	hyponatraemia	0.03369373455643654
trial_2	estramustine phosphate	139	KG00098855	Sinusitis, Ethmoid	0.032939497381448746
trial_2	estramustine phosphate	28	KG00099347	hypoglycaemia	0.03202009201049805
trial_2	estramustine phosphate	121	KG00099190	haemorrhage	0.0314604751765728
trial_2	estramustine phosphate	144	KG00099610	Leukopenia NOS	0.03141653165221214
trial_2	estramustine phosphate	180	KG00099363	Hypotension NOS	0.031191548332571983
trial_2	estramustine phosphate	151	KG00098274	Infarction, Cerebral	0.03074229136109352
trial_2	estramustine phosphate	1	KG00099959	Neutropenia NOS	0.029998332262039185
trial_2	estramustine phosphate	212	KG00100576	shivers	0.029830172657966614
trial_2	estramustine phosphate	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.028868408873677254
trial_2	estramustine phosphate	18	KG00098307	Pain, Chest	0.0286807119846344
trial_2	estramustine phosphate	76	KG00100450	Respiratory insufficiency, NOS	0.028528619557619095
trial_2	estramustine phosphate	147	KG00098000	atelectases	0.028039315715432167
trial_2	estramustine phosphate	101	KG00097901	Anorexia NOS	0.027785243466496468
trial_2	estramustine phosphate	142	KG00100923	Unspecified infectious and parasitic diseases	0.026551097631454468
trial_2	estramustine phosphate	194	KG00110727	Neutrophil Count Decreased	0.026479635387659073
trial_2	estramustine phosphate	179	KG00099342	hypocalcaemia	0.026205705478787422
trial_2	estramustine phosphate	188	KG00101579	Aspartate aminotransferase increase	0.02608860284090042
trial_2	estramustine phosphate	102	KG00097916	anxieties	0.026017215102910995
trial_2	estramustine phosphate	38	KG00098066	Binocular vision disorders	0.025816859677433968
trial_2	estramustine phosphate	96	KG00101679	Unattended death NOS	0.025521844625473022
trial_2	estramustine phosphate	5	KG00099169	haematuria	0.02534344047307968
trial_2	estramustine phosphate	245	KG00101513	Reaction, Injection Site	0.025189371779561043
trial_2	estramustine phosphate	239	KG00100128	pareses	0.02497909404337406
trial_2	estramustine phosphate	61	KG00099501	Chronic Kidney Failure	0.02434260956943035
trial_2	estramustine phosphate	69	KG00100082	Palpitations NOS	0.0242998618632555
trial_2	estramustine phosphate	27	KG00099303	hyperkalaemia	0.024155840277671814
trial_2	estramustine phosphate	396	KG00100373	Embolism, Pulmonary	0.02404545620083809
trial_2	estramustine phosphate	116	KG00098964	Pain in foot	0.024013349786400795
trial_2	estramustine phosphate	154	KG00099686	Lymphopenias	0.023228880017995834
trial_2	estramustine phosphate	234	KG00098669	dysgeusias	0.022940151393413544
trial_2	estramustine phosphate	133	KG00101370	neuropathies sensory	0.022321011871099472
trial_2	estramustine phosphate	355	KG00110857	lymphocyte count decreased	0.021637726575136185
trial_2	estramustine phosphate	282	KG00099309	hypernatraemia	0.020800968632102013
trial_2	estramustine phosphate	92	KG00100926	Infections, Upper Respiratory	0.020800011232495308
trial_2	estramustine phosphate	361	KG00098004	Fibrillation, Atrial	0.020344143733382225
trial_2	estramustine phosphate	441	KG00098262	cellulitis nos	0.020217901095747948
trial_2	estramustine phosphate	75	KG00100195	Dolens, Phlegmasia Alba	0.020171191543340683
trial_2	estramustine phosphate	131	KG00100948	Urinary tract infection (& [NOS])	0.020106425508856773
trial_2	estramustine phosphate	31	KG00099872	Infarction, Myocardial	0.019615506753325462
trial_2	estramustine phosphate	170	KG00108926	Neutropenia, Febrile	0.018835237249732018
trial_2	estramustine phosphate	164	KG00108827	ileus colon	0.01838747039437294
trial_2	estramustine phosphate	249	KG00104430	hypoalbuminaemia	0.018380917608737946
trial_2	estramustine phosphate	195	KG00097814	Atopic Rhinitis	0.018208831548690796
trial_2	estramustine phosphate	276	KG00099127	Arrest, Cardiac	0.018201500177383423
trial_2	estramustine phosphate	130	KG00100683	Stomatitis NOS	0.01813363842666149
trial_2	estramustine phosphate	269	KG00100399	pyaemia	0.01806528866291046
trial_2	estramustine phosphate	36	KG00106434	Vision, Blurring Of	0.017854105681180954
trial_2	estramustine phosphate	132	KG00101045	Gain, Weight	0.01784995011985302
trial_2	estramustine phosphate	257	KG00100922	Erythema NOS	0.017838191241025925
trial_2	estramustine phosphate	254	KG00100774	Thrombosis NOS	0.01757131889462471
trial_2	estramustine phosphate	454	KG00098286	Pain, Neck	0.01748836599290371
trial_2	estramustine phosphate	30	KG00099500	Acute Kidney Failure	0.017294153571128845
trial_2	estramustine phosphate	204	KG00098849	Esophagitis, Peptic	0.01707603968679905
trial_2	estramustine phosphate	246	KG00103338	Aspartate Aminotransferase Measurement	0.01701510325074196
trial_2	estramustine phosphate	508	KG00108565	blood glucose increased	0.016859158873558044
trial_2	estramustine phosphate	261	KG00101559	raised alkaline phosphatase	0.016766535118222237
trial_2	estramustine phosphate	262	KG00101199	agitation	0.016653651371598244
trial_2	estramustine phosphate	98	KG00097718	Incised wound, NOS	0.01646680012345314
trial_2	estramustine phosphate	382	KG00099200	haemorrhoids	0.016384931281208992
trial_2	estramustine phosphate	82	KG00097697	abdomen distended	0.016310418024659157
trial_2	estramustine phosphate	253	KG00100232	Pleural effusion NOS (disorder)	0.016226040199398994
trial_2	estramustine phosphate	466	KG00101205	fall	0.016149425879120827
trial_2	estramustine phosphate	4	KG00098817	epistaxis	0.016051724553108215
trial_2	estramustine phosphate	22	KG00098705	Edema (NOS)	0.016011828556656837
trial_2	estramustine phosphate	221	KG00101207	peripheral oedema	0.0157625749707222
trial_2	estramustine phosphate	218	KG00100801	Tinnitus NOS	0.015682443976402283
