trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	11	KG00097993	Asthma NOS	0.014016049914062023
trial_1	placebo	92	KG00100926	Infections, Upper Respiratory	0.01393076404929161
trial_1	placebo	456	KG00099420	Influenzae	0.01387721486389637
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.013863700442016125
trial_1	placebo	191	KG00104055	Biliverdin increased	0.01380393747240305
trial_1	placebo	118	KG00099011	Gastritis NOS	0.013783056288957596
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.01370185799896717
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.013696638867259026
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.013663491234183311
trial_1	placebo	282	KG00099309	hypernatraemia	0.013561109080910683
trial_1	placebo	345	KG00103926	impairments memory	0.013519334606826305
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.013513416051864624
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.013413184322416782
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.013403722085058689
trial_1	placebo	153	KG00099579	lethargy	0.013360081240534782
trial_2	estazolam	9	KG00098432	Confusion NOS	0.10062408447265625
trial_2	estazolam	87	KG00098599	diarrhoea	0.09937907755374908
trial_2	estazolam	17	KG00097991	Asthenia NOS	0.09376399219036102
trial_2	estazolam	78	KG00099326	Hypertensive diseases	0.08194557577371597
trial_2	estazolam	177	KG00099299	hyperglycaemia	0.06501460075378418
trial_2	estazolam	46	KG00099121	Headache NOS	0.061320263892412186
trial_2	estazolam	173	KG00098172	Bronchopneumonia NOS	0.05409439280629158
trial_2	estazolam	20	KG00098540	dehydration	0.053183283656835556
trial_2	estazolam	21	KG00098675	dyspnoea	0.05202871933579445
trial_2	estazolam	77	KG00098450	Constipation NOS	0.05093317851424217
trial_2	estazolam	123	KG00099351	hypokalaemia	0.04872531443834305
trial_2	estazolam	79	KG00100317	Insomnia, Primary	0.04750320315361023
trial_2	estazolam	68	KG00099901	nauseas	0.04705500602722168
trial_2	estazolam	49	KG00099902	nausea with vomiting	0.04687471687793732
trial_2	estazolam	200	KG00098539	Disorders, Deglutition	0.0405917651951313
trial_2	estazolam	67	KG00098673	Dyspepsia, NOS	0.0391312912106514
trial_2	estazolam	151	KG00098274	Infarction, Cerebral	0.03906053677201271
trial_2	estazolam	180	KG00099363	Hypotension NOS	0.0381806381046772
trial_2	estazolam	64	KG00097734	Acrodermatitis, NOS	0.03787591680884361
trial_2	estazolam	29	KG00099354	hyponatraemia	0.037503764033317566
trial_2	estazolam	228	KG00114657	Weight below normal	0.037195321172475815
trial_2	estazolam	76	KG00100450	Respiratory insufficiency, NOS	0.03343423083424568
trial_2	estazolam	37	KG00097696	Cramps, Abdominal	0.03313734754920006
trial_2	estazolam	104	KG00097963	arthralgias	0.03299780562520027
trial_2	estazolam	14	KG00097852	Anemia NOS	0.03282409533858299
trial_2	estazolam	61	KG00099501	Chronic Kidney Failure	0.03181425482034683
trial_2	estazolam	126	KG00100076	Pain NOS	0.03145425766706467
trial_2	estazolam	28	KG00099347	hypoglycaemia	0.03126315400004387
trial_2	estazolam	189	KG00101580	Alanine aminotransferase increase	0.03054657392203808
trial_2	estazolam	86	KG00098565	Depression, Mental	0.030510393902659416
trial_2	estazolam	132	KG00101045	Gain, Weight	0.030017083510756493
trial_2	estazolam	66	KG00098642	drowsiness	0.029977241531014442
trial_2	estazolam	85	KG00098474	coughs	0.028393492102622986
trial_2	estazolam	239	KG00100128	pareses	0.02807806245982647
trial_2	estazolam	188	KG00101579	Aspartate aminotransferase increase	0.027066748589277267
trial_2	estazolam	96	KG00101679	Unattended death NOS	0.02559460699558258
trial_2	estazolam	114	KG00098933	fevers	0.02556982822716236
trial_2	estazolam	102	KG00097916	anxieties	0.025565670803189278
trial_2	estazolam	262	KG00101199	agitation	0.024665813893079758
trial_2	estazolam	350	KG00106765	decreased platelet count	0.02428668737411499
trial_2	estazolam	5	KG00099169	haematuria	0.02391906827688217
trial_2	estazolam	30	KG00099500	Acute Kidney Failure	0.023596266284585
trial_2	estazolam	101	KG00097901	Anorexia NOS	0.023174278438091278
trial_2	estazolam	466	KG00101205	fall	0.02239779755473137
trial_2	estazolam	131	KG00100948	Urinary tract infection (& [NOS])	0.02239222824573517
trial_2	estazolam	234	KG00098669	dysgeusias	0.022324126213788986
trial_2	estazolam	243	KG00100947	Micturition frequency increased	0.022261610254645348
trial_2	estazolam	179	KG00099342	hypocalcaemia	0.02216716669499874
trial_2	estazolam	36	KG00106434	Vision, Blurring Of	0.021663643419742584
trial_2	estazolam	242	KG00100855	tremors	0.021526750177145004
trial_2	estazolam	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.021424300968647003
trial_2	estazolam	2	KG00100772	thrombocytopaenia	0.020384859293699265
trial_2	estazolam	18	KG00098307	Pain, Chest	0.020036565139889717
trial_2	estazolam	27	KG00099303	hyperkalaemia	0.01994246430695057
trial_2	estazolam	147	KG00098000	atelectases	0.01967792771756649
trial_2	estazolam	300	KG00101064	xerostomia	0.019250649958848953
trial_2	estazolam	72	KG00103771	myalgias	0.019162626937031746
trial_2	estazolam	38	KG00098066	Binocular vision disorders	0.01893685571849346
trial_2	estazolam	396	KG00100373	Embolism, Pulmonary	0.018885936588048935
trial_2	estazolam	221	KG00101207	peripheral oedema	0.018242107704281807
trial_2	estazolam	116	KG00098964	Pain in foot	0.018209025263786316
trial_2	estazolam	199	KG00098371	Rhinitis (chronic) NOS	0.01819402351975441
trial_2	estazolam	269	KG00100399	pyaemia	0.017561014741659164
trial_2	estazolam	82	KG00097697	abdomen distended	0.017471855506300926
trial_2	estazolam	422	KG00101429	Creatine phosphokinase increased	0.0169928427785635
trial_2	estazolam	122	KG00099321	Hypersensitivity NOS	0.016955779865384102
trial_2	estazolam	249	KG00104430	hypoalbuminaemia	0.016783278435468674
trial_2	estazolam	361	KG00098004	Fibrillation, Atrial	0.0167648047208786
trial_2	estazolam	142	KG00100923	Unspecified infectious and parasitic diseases	0.016715476289391518
trial_2	estazolam	121	KG00099190	haemorrhage	0.016662703827023506
trial_2	estazolam	69	KG00100082	Palpitations NOS	0.01631462574005127
trial_2	estazolam	211	KG00100341	Pruritus NOS	0.016225196421146393
trial_2	estazolam	139	KG00098855	Sinusitis, Ethmoid	0.016153251752257347
trial_2	estazolam	261	KG00101559	raised alkaline phosphatase	0.016023702919483185
trial_2	estazolam	130	KG00100683	Stomatitis NOS	0.015522508881986141
trial_2	estazolam	441	KG00098262	cellulitis nos	0.015431432984769344
trial_2	estazolam	154	KG00099686	Lymphopenias	0.015142235904932022
trial_2	estazolam	286	KG00101110	Retention, Urinary	0.01502921897917986
trial_2	estazolam	98	KG00097718	Incised wound, NOS	0.014861511997878551
trial_2	estazolam	276	KG00099127	Arrest, Cardiac	0.014768927358090878
trial_2	estazolam	355	KG00110857	lymphocyte count decreased	0.014581729657948017
trial_2	estazolam	194	KG00110727	Neutrophil Count Decreased	0.014575783163309097
trial_2	estazolam	232	KG00097997	Ataxia NOS	0.014549088664352894
trial_2	estazolam	164	KG00108827	ileus colon	0.014515114948153496
trial_2	estazolam	371	KG00098517	Cystitis (NOS)	0.01401699148118496
trial_2	estazolam	11	KG00097993	Asthma NOS	0.014016049914062023
trial_2	estazolam	92	KG00100926	Infections, Upper Respiratory	0.01393076404929161
trial_2	estazolam	456	KG00099420	Influenzae	0.01387721486389637
trial_2	estazolam	35	KG00101507	hypomagnesaemia	0.013863700442016125
trial_2	estazolam	191	KG00104055	Biliverdin increased	0.01380393747240305
trial_2	estazolam	118	KG00099011	Gastritis NOS	0.013783056288957596
trial_2	estazolam	15	KG00097882	Angina pectoris NOS	0.01370185799896717
trial_2	estazolam	75	KG00100195	Dolens, Phlegmasia Alba	0.013696638867259026
trial_2	estazolam	341	KG00101472	Gamma-glutamyltransferase increased	0.013663491234183311
trial_2	estazolam	282	KG00099309	hypernatraemia	0.013561109080910683
trial_2	estazolam	345	KG00103926	impairments memory	0.013519334606826305
trial_2	estazolam	204	KG00098849	Esophagitis, Peptic	0.013513416051864624
trial_2	estazolam	253	KG00100232	Pleural effusion NOS (disorder)	0.013413184322416782
trial_2	estazolam	394	KG00100243	Pneumonia, Aspiration	0.013403722085058689
trial_2	estazolam	153	KG00099579	lethargy	0.013360081240534782
