trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	221	KG00101207	peripheral oedema	0.024412566795945168
trial_1	placebo	242	KG00100855	tremors	0.02394747920334339
trial_1	placebo	11	KG00097993	Asthma NOS	0.023814717307686806
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.02349751815199852
trial_1	placebo	98	KG00097718	Incised wound, NOS	0.02309173345565796
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.022933190688490868
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.022601770237088203
trial_1	placebo	212	KG00100576	shivers	0.02250891737639904
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.022468533366918564
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.022316524758934975
trial_1	placebo	508	KG00108565	blood glucose increased	0.022270865738391876
trial_1	placebo	118	KG00099011	Gastritis NOS	0.021978439763188362
trial_1	placebo	503	KG00102612	low haemoglobin	0.021976953372359276
trial_1	placebo	282	KG00099309	hypernatraemia	0.021871022880077362
trial_1	placebo	213	KG00100600	Infectious Skin Diseases	0.02161405235528946
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.021584557369351387
trial_2	chloroquine	87	KG00098599	diarrhoea	0.17376789450645447
trial_2	chloroquine	21	KG00098675	dyspnoea	0.13047215342521667
trial_2	chloroquine	78	KG00099326	Hypertensive diseases	0.12930506467819214
trial_2	chloroquine	9	KG00098432	Confusion NOS	0.12129081785678864
trial_2	chloroquine	173	KG00098172	Bronchopneumonia NOS	0.1208198070526123
trial_2	chloroquine	17	KG00097991	Asthenia NOS	0.11421066522598267
trial_2	chloroquine	189	KG00101580	Alanine aminotransferase increase	0.1134273037314415
trial_2	chloroquine	64	KG00097734	Acrodermatitis, NOS	0.10751271992921829
trial_2	chloroquine	123	KG00099351	hypokalaemia	0.08940751850605011
trial_2	chloroquine	46	KG00099121	Headache NOS	0.08007017523050308
trial_2	chloroquine	188	KG00101579	Aspartate aminotransferase increase	0.07877160608768463
trial_2	chloroquine	37	KG00097696	Cramps, Abdominal	0.07787846028804779
trial_2	chloroquine	177	KG00099299	hyperglycaemia	0.07647448778152466
trial_2	chloroquine	68	KG00099901	nauseas	0.07621020823717117
trial_2	chloroquine	114	KG00098933	fevers	0.07163382321596146
trial_2	chloroquine	14	KG00097852	Anemia NOS	0.07132123410701752
trial_2	chloroquine	49	KG00099902	nausea with vomiting	0.07129915803670883
trial_2	chloroquine	79	KG00100317	Insomnia, Primary	0.06616584211587906
trial_2	chloroquine	77	KG00098450	Constipation NOS	0.06604867428541183
trial_2	chloroquine	20	KG00098540	dehydration	0.0651157945394516
trial_2	chloroquine	126	KG00100076	Pain NOS	0.06319717317819595
trial_2	chloroquine	228	KG00114657	Weight below normal	0.06258132308721542
trial_2	chloroquine	2	KG00100772	thrombocytopaenia	0.062379103153944016
trial_2	chloroquine	67	KG00098673	Dyspepsia, NOS	0.06227375939488411
trial_2	chloroquine	85	KG00098474	coughs	0.06075610592961311
trial_2	chloroquine	200	KG00098539	Disorders, Deglutition	0.057005152106285095
trial_2	chloroquine	29	KG00099354	hyponatraemia	0.05566530302166939
trial_2	chloroquine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.05476132407784462
trial_2	chloroquine	96	KG00101679	Unattended death NOS	0.054156042635440826
trial_2	chloroquine	194	KG00110727	Neutrophil Count Decreased	0.0535188727080822
trial_2	chloroquine	151	KG00098274	Infarction, Cerebral	0.05312608554959297
trial_2	chloroquine	86	KG00098565	Depression, Mental	0.05205941200256348
trial_2	chloroquine	101	KG00097901	Anorexia NOS	0.051193300634622574
trial_2	chloroquine	350	KG00106765	decreased platelet count	0.05046350508928299
trial_2	chloroquine	104	KG00097963	arthralgias	0.047614406794309616
trial_2	chloroquine	76	KG00100450	Respiratory insufficiency, NOS	0.044495340436697006
trial_2	chloroquine	142	KG00100923	Unspecified infectious and parasitic diseases	0.04359576478600502
trial_2	chloroquine	396	KG00100373	Embolism, Pulmonary	0.04338556528091431
trial_2	chloroquine	239	KG00100128	pareses	0.04337320849299431
trial_2	chloroquine	36	KG00106434	Vision, Blurring Of	0.04184957221150398
trial_2	chloroquine	144	KG00099610	Leukopenia NOS	0.04164683073759079
trial_2	chloroquine	61	KG00099501	Chronic Kidney Failure	0.0409809872508049
trial_2	chloroquine	131	KG00100948	Urinary tract infection (& [NOS])	0.04019277170300484
trial_2	chloroquine	1	KG00099959	Neutropenia NOS	0.03937365859746933
trial_2	chloroquine	441	KG00098262	cellulitis nos	0.03922248259186745
trial_2	chloroquine	72	KG00103771	myalgias	0.038802362978458405
trial_2	chloroquine	180	KG00099363	Hypotension NOS	0.038676679134368896
trial_2	chloroquine	102	KG00097916	anxieties	0.038560446351766586
trial_2	chloroquine	234	KG00098669	dysgeusias	0.0384698249399662
trial_2	chloroquine	243	KG00100947	Micturition frequency increased	0.037891071289777756
trial_2	chloroquine	30	KG00099500	Acute Kidney Failure	0.037758227437734604
trial_2	chloroquine	5	KG00099169	haematuria	0.037351131439208984
trial_2	chloroquine	179	KG00099342	hypocalcaemia	0.03730998560786247
trial_2	chloroquine	466	KG00101205	fall	0.03649153560400009
trial_2	chloroquine	261	KG00101559	raised alkaline phosphatase	0.03636545315384865
trial_2	chloroquine	154	KG00099686	Lymphopenias	0.03630702570080757
trial_2	chloroquine	28	KG00099347	hypoglycaemia	0.036105260252952576
trial_2	chloroquine	38	KG00098066	Binocular vision disorders	0.035742875188589096
trial_2	chloroquine	18	KG00098307	Pain, Chest	0.0354338176548481
trial_2	chloroquine	269	KG00100399	pyaemia	0.03515557572245598
trial_2	chloroquine	191	KG00104055	Biliverdin increased	0.035025935620069504
trial_2	chloroquine	116	KG00098964	Pain in foot	0.034744229167699814
trial_2	chloroquine	139	KG00098855	Sinusitis, Ethmoid	0.034662503749132156
trial_2	chloroquine	355	KG00110857	lymphocyte count decreased	0.0344710648059845
trial_2	chloroquine	361	KG00098004	Fibrillation, Atrial	0.03422323986887932
trial_2	chloroquine	122	KG00099321	Hypersensitivity NOS	0.03371819481253624
trial_2	chloroquine	147	KG00098000	atelectases	0.03284052386879921
trial_2	chloroquine	69	KG00100082	Palpitations NOS	0.032185669988393784
trial_2	chloroquine	121	KG00099190	haemorrhage	0.03205876052379608
trial_2	chloroquine	92	KG00100926	Infections, Upper Respiratory	0.031527671962976456
trial_2	chloroquine	4	KG00098817	epistaxis	0.0312141515314579
trial_2	chloroquine	100	KG00097815	alopecias	0.0303536057472229
trial_2	chloroquine	130	KG00100683	Stomatitis NOS	0.029979601502418518
trial_2	chloroquine	27	KG00099303	hyperkalaemia	0.02853832207620144
trial_2	chloroquine	356	KG00112623	Infectious Lung Disorders	0.027642879635095596
trial_2	chloroquine	211	KG00100341	Pruritus NOS	0.027630336582660675
trial_2	chloroquine	262	KG00101199	agitation	0.027598561719059944
trial_2	chloroquine	132	KG00101045	Gain, Weight	0.027560248970985413
trial_2	chloroquine	186	KG00101431	creatinine increased	0.0266672745347023
trial_2	chloroquine	170	KG00108926	Neutropenia, Febrile	0.026233714073896408
trial_2	chloroquine	136	KG00101582	Dry;skin	0.026157943531870842
trial_2	chloroquine	249	KG00104430	hypoalbuminaemia	0.025919172912836075
trial_2	chloroquine	15	KG00097882	Angina pectoris NOS	0.024746829643845558
trial_2	chloroquine	75	KG00100195	Dolens, Phlegmasia Alba	0.024638943374156952
trial_2	chloroquine	221	KG00101207	peripheral oedema	0.024412566795945168
trial_2	chloroquine	242	KG00100855	tremors	0.02394747920334339
trial_2	chloroquine	11	KG00097993	Asthma NOS	0.023814717307686806
trial_2	chloroquine	138	KG00098796	epidemic vomiting syndrome	0.02349751815199852
trial_2	chloroquine	98	KG00097718	Incised wound, NOS	0.02309173345565796
trial_2	chloroquine	35	KG00101507	hypomagnesaemia	0.022933190688490868
trial_2	chloroquine	204	KG00098849	Esophagitis, Peptic	0.022601770237088203
trial_2	chloroquine	212	KG00100576	shivers	0.02250891737639904
trial_2	chloroquine	218	KG00100801	Tinnitus NOS	0.022468533366918564
trial_2	chloroquine	276	KG00099127	Arrest, Cardiac	0.022316524758934975
trial_2	chloroquine	508	KG00108565	blood glucose increased	0.022270865738391876
trial_2	chloroquine	118	KG00099011	Gastritis NOS	0.021978439763188362
trial_2	chloroquine	503	KG00102612	low haemoglobin	0.021976953372359276
trial_2	chloroquine	282	KG00099309	hypernatraemia	0.021871022880077362
trial_2	chloroquine	213	KG00100600	Infectious Skin Diseases	0.02161405235528946
trial_2	chloroquine	253	KG00100232	Pleural effusion NOS (disorder)	0.021584557369351387
