trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	286	KG00101110	Retention, Urinary	0.017922908067703247
trial_1	placebo	135	KG00101549	bone pain	0.016431143507361412
trial_1	placebo	33	KG00100094	Pancreatitis NOS	0.016208862885832787
trial_2	quercetin	87	KG00098599	diarrhoea	0.21846620738506317
trial_2	quercetin	123	KG00099351	hypokalaemia	0.12189267575740814
trial_2	quercetin	177	KG00099299	hyperglycaemia	0.09405933320522308
trial_2	quercetin	21	KG00098675	dyspnoea	0.091062992811203
trial_2	quercetin	68	KG00099901	nauseas	0.09090463817119598
trial_2	quercetin	20	KG00098540	dehydration	0.08431053161621094
trial_2	quercetin	49	KG00099902	nausea with vomiting	0.08122384548187256
trial_2	quercetin	46	KG00099121	Headache NOS	0.08081580698490143
trial_2	quercetin	67	KG00098673	Dyspepsia, NOS	0.0787351131439209
trial_2	quercetin	37	KG00097696	Cramps, Abdominal	0.07629859447479248
trial_2	quercetin	17	KG00097991	Asthenia NOS	0.07610709220170975
trial_2	quercetin	64	KG00097734	Acrodermatitis, NOS	0.07515222579240799
trial_2	quercetin	173	KG00098172	Bronchopneumonia NOS	0.0748031809926033
trial_2	quercetin	14	KG00097852	Anemia NOS	0.07286366820335388
trial_2	quercetin	126	KG00100076	Pain NOS	0.06274683773517609
trial_2	quercetin	78	KG00099326	Hypertensive diseases	0.060751769691705704
trial_2	quercetin	9	KG00098432	Confusion NOS	0.05872803181409836
trial_2	quercetin	121	KG00099190	haemorrhage	0.056357771158218384
trial_2	quercetin	189	KG00101580	Alanine aminotransferase increase	0.05503925681114197
trial_2	quercetin	72	KG00103771	myalgias	0.054939012974500656
trial_2	quercetin	2	KG00100772	thrombocytopaenia	0.05486733466386795
trial_2	quercetin	114	KG00098933	fevers	0.05433471128344536
trial_2	quercetin	350	KG00106765	decreased platelet count	0.05334550887346268
trial_2	quercetin	77	KG00098450	Constipation NOS	0.05314245447516441
trial_2	quercetin	101	KG00097901	Anorexia NOS	0.051176220178604126
trial_2	quercetin	228	KG00114657	Weight below normal	0.049600936472415924
trial_2	quercetin	200	KG00098539	Disorders, Deglutition	0.04898218438029289
trial_2	quercetin	142	KG00100923	Unspecified infectious and parasitic diseases	0.04794919863343239
trial_2	quercetin	96	KG00101679	Unattended death NOS	0.045996420085430145
trial_2	quercetin	188	KG00101579	Aspartate aminotransferase increase	0.04551953822374344
trial_2	quercetin	179	KG00099342	hypocalcaemia	0.04099417105317116
trial_2	quercetin	85	KG00098474	coughs	0.04077443107962608
trial_2	quercetin	76	KG00100450	Respiratory insufficiency, NOS	0.04067454859614372
trial_2	quercetin	147	KG00098000	atelectases	0.04062379524111748
trial_2	quercetin	180	KG00099363	Hypotension NOS	0.04049317166209221
trial_2	quercetin	29	KG00099354	hyponatraemia	0.04035722091794014
trial_2	quercetin	79	KG00100317	Insomnia, Primary	0.03928224742412567
trial_2	quercetin	234	KG00098669	dysgeusias	0.03847143054008484
trial_2	quercetin	249	KG00104430	hypoalbuminaemia	0.03814530745148659
trial_2	quercetin	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.037958838045597076
trial_2	quercetin	61	KG00099501	Chronic Kidney Failure	0.036752715706825256
trial_2	quercetin	243	KG00100947	Micturition frequency increased	0.036636851727962494
trial_2	quercetin	194	KG00110727	Neutrophil Count Decreased	0.036486733704805374
trial_2	quercetin	100	KG00097815	alopecias	0.035864148288965225
trial_2	quercetin	5	KG00099169	haematuria	0.03528151288628578
trial_2	quercetin	18	KG00098307	Pain, Chest	0.03497127816081047
trial_2	quercetin	82	KG00097697	abdomen distended	0.032625604420900345
trial_2	quercetin	191	KG00104055	Biliverdin increased	0.031746815890073776
trial_2	quercetin	122	KG00099321	Hypersensitivity NOS	0.030790673568844795
trial_2	quercetin	28	KG00099347	hypoglycaemia	0.030781622976064682
trial_2	quercetin	170	KG00108926	Neutropenia, Febrile	0.030571138486266136
trial_2	quercetin	27	KG00099303	hyperkalaemia	0.030247529968619347
trial_2	quercetin	104	KG00097963	arthralgias	0.029706092551350594
trial_2	quercetin	261	KG00101559	raised alkaline phosphatase	0.02862725965678692
trial_2	quercetin	144	KG00099610	Leukopenia NOS	0.02862057089805603
trial_2	quercetin	1	KG00099959	Neutropenia NOS	0.02814340591430664
trial_2	quercetin	396	KG00100373	Embolism, Pulmonary	0.02762676030397415
trial_2	quercetin	151	KG00098274	Infarction, Cerebral	0.027336539700627327
trial_2	quercetin	253	KG00100232	Pleural effusion NOS (disorder)	0.02726210653781891
trial_2	quercetin	154	KG00099686	Lymphopenias	0.0269025731831789
trial_2	quercetin	133	KG00101370	neuropathies sensory	0.02684847265481949
trial_2	quercetin	239	KG00100128	pareses	0.02647567167878151
trial_2	quercetin	136	KG00101582	Dry;skin	0.026311051100492477
trial_2	quercetin	186	KG00101431	creatinine increased	0.02630416303873062
trial_2	quercetin	130	KG00100683	Stomatitis NOS	0.026287974789738655
trial_2	quercetin	35	KG00101507	hypomagnesaemia	0.025407057255506516
trial_2	quercetin	269	KG00100399	pyaemia	0.0254026111215353
trial_2	quercetin	282	KG00099309	hypernatraemia	0.025259213522076607
trial_2	quercetin	355	KG00110857	lymphocyte count decreased	0.02434803545475006
trial_2	quercetin	69	KG00100082	Palpitations NOS	0.02423585206270218
trial_2	quercetin	86	KG00098565	Depression, Mental	0.02408255636692047
trial_2	quercetin	211	KG00100341	Pruritus NOS	0.024049991741776466
trial_2	quercetin	288	KG00101223	hypophosphataemia	0.02307247556746006
trial_2	quercetin	347	KG00104223	Mucosal ulcers	0.022647595033049583
trial_2	quercetin	4	KG00098817	epistaxis	0.022537508979439735
trial_2	quercetin	246	KG00103338	Aspartate Aminotransferase Measurement	0.022367391735315323
trial_2	quercetin	441	KG00098262	cellulitis nos	0.022035501897335052
trial_2	quercetin	276	KG00099127	Arrest, Cardiac	0.021923378109931946
trial_2	quercetin	131	KG00100948	Urinary tract infection (& [NOS])	0.021840039640665054
trial_2	quercetin	30	KG00099500	Acute Kidney Failure	0.021548964083194733
trial_2	quercetin	356	KG00112623	Infectious Lung Disorders	0.02108086086809635
trial_2	quercetin	116	KG00098964	Pain in foot	0.020840423181653023
trial_2	quercetin	257	KG00100922	Erythema NOS	0.02055971324443817
trial_2	quercetin	204	KG00098849	Esophagitis, Peptic	0.020422160625457764
trial_2	quercetin	22	KG00098705	Edema (NOS)	0.02032064087688923
trial_2	quercetin	361	KG00098004	Fibrillation, Atrial	0.020030109211802483
trial_2	quercetin	212	KG00100576	shivers	0.01984022930264473
trial_2	quercetin	164	KG00108827	ileus colon	0.01971273683011532
trial_2	quercetin	155	KG00099960	Neutrophile	0.019707057625055313
trial_2	quercetin	139	KG00098855	Sinusitis, Ethmoid	0.019526418298482895
trial_2	quercetin	102	KG00097916	anxieties	0.0192808099091053
trial_2	quercetin	503	KG00102612	low haemoglobin	0.01887865923345089
trial_2	quercetin	213	KG00100600	Infectious Skin Diseases	0.018516780808568
trial_2	quercetin	38	KG00098066	Binocular vision disorders	0.018373100087046623
trial_2	quercetin	221	KG00101207	peripheral oedema	0.01824716106057167
trial_2	quercetin	75	KG00100195	Dolens, Phlegmasia Alba	0.01817844621837139
trial_2	quercetin	254	KG00100774	Thrombosis NOS	0.018135959282517433
trial_2	quercetin	286	KG00101110	Retention, Urinary	0.017922908067703247
trial_2	quercetin	135	KG00101549	bone pain	0.016431143507361412
trial_2	quercetin	33	KG00100094	Pancreatitis NOS	0.016208862885832787
