trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	4	KG00098817	epistaxis	0.01886838860809803
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.01879039965569973
trial_1	placebo	27	KG00099303	hyperkalaemia	0.018306901678442955
trial_1	placebo	164	KG00108827	ileus colon	0.018269725143909454
trial_1	placebo	441	KG00098262	cellulitis nos	0.018122365698218346
trial_1	placebo	82	KG00097697	abdomen distended	0.017634812742471695
trial_1	placebo	194	KG00110727	Neutrophil Count Decreased	0.017360268160700798
trial_1	placebo	179	KG00099342	hypocalcaemia	0.017135437577962875
trial_1	placebo	341	KG00101472	Gamma-glutamyltransferase increased	0.016920186579227448
trial_1	placebo	249	KG00104430	hypoalbuminaemia	0.016644110903143883
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.016540031880140305
trial_1	placebo	1	KG00099959	Neutropenia NOS	0.01653597503900528
trial_1	placebo	218	KG00100801	Tinnitus NOS	0.016419634222984314
trial_1	placebo	11	KG00097993	Asthma NOS	0.016233736649155617
trial_1	placebo	221	KG00101207	peripheral oedema	0.0161276962608099
trial_1	placebo	186	KG00101431	creatinine increased	0.01607828587293625
trial_1	placebo	22	KG00098705	Edema (NOS)	0.01596813276410103
trial_1	placebo	276	KG00099127	Arrest, Cardiac	0.015965234488248825
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.01583002135157585
trial_1	placebo	361	KG00098004	Fibrillation, Atrial	0.015772661194205284
trial_1	placebo	94	KG00103829	abdominal discomfort	0.015752147883176804
trial_1	placebo	355	KG00110857	lymphocyte count decreased	0.015676984563469887
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.015570740215480328
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.01547021884471178
trial_1	placebo	118	KG00099011	Gastritis NOS	0.015277181752026081
trial_1	placebo	508	KG00108565	blood glucose increased	0.01525430753827095
trial_1	placebo	356	KG00112623	Infectious Lung Disorders	0.015245535410940647
trial_1	placebo	154	KG00099686	Lymphopenias	0.015153574757277966
trial_2	quinidine	87	KG00098599	diarrhoea	0.12865428626537323
trial_2	quinidine	9	KG00098432	Confusion NOS	0.12860845029354095
trial_2	quinidine	17	KG00097991	Asthenia NOS	0.12337442487478256
trial_2	quinidine	78	KG00099326	Hypertensive diseases	0.09329362213611603
trial_2	quinidine	46	KG00099121	Headache NOS	0.0806710496544838
trial_2	quinidine	68	KG00099901	nauseas	0.0736972764134407
trial_2	quinidine	77	KG00098450	Constipation NOS	0.07237433642148972
trial_2	quinidine	21	KG00098675	dyspnoea	0.07188348472118378
trial_2	quinidine	49	KG00099902	nausea with vomiting	0.06893019378185272
trial_2	quinidine	173	KG00098172	Bronchopneumonia NOS	0.06846964359283447
trial_2	quinidine	123	KG00099351	hypokalaemia	0.06748656183481216
trial_2	quinidine	20	KG00098540	dehydration	0.061692073941230774
trial_2	quinidine	79	KG00100317	Insomnia, Primary	0.06024472042918205
trial_2	quinidine	64	KG00097734	Acrodermatitis, NOS	0.055604953318834305
trial_2	quinidine	228	KG00114657	Weight below normal	0.05115898326039314
trial_2	quinidine	67	KG00098673	Dyspepsia, NOS	0.050494175404310226
trial_2	quinidine	177	KG00099299	hyperglycaemia	0.049155768007040024
trial_2	quinidine	189	KG00101580	Alanine aminotransferase increase	0.04611021652817726
trial_2	quinidine	85	KG00098474	coughs	0.045150041580200195
trial_2	quinidine	37	KG00097696	Cramps, Abdominal	0.04463021829724312
trial_2	quinidine	114	KG00098933	fevers	0.04322558641433716
trial_2	quinidine	101	KG00097901	Anorexia NOS	0.04055091366171837
trial_2	quinidine	300	KG00101064	xerostomia	0.039079681038856506
trial_2	quinidine	126	KG00100076	Pain NOS	0.038973063230514526
trial_2	quinidine	151	KG00098274	Infarction, Cerebral	0.03897146135568619
trial_2	quinidine	86	KG00098565	Depression, Mental	0.038444884121418
trial_2	quinidine	188	KG00101579	Aspartate aminotransferase increase	0.03820120170712471
trial_2	quinidine	18	KG00098307	Pain, Chest	0.037318047136068344
trial_2	quinidine	200	KG00098539	Disorders, Deglutition	0.03639870136976242
trial_2	quinidine	180	KG00099363	Hypotension NOS	0.034517064690589905
trial_2	quinidine	104	KG00097963	arthralgias	0.03401841223239899
trial_2	quinidine	29	KG00099354	hyponatraemia	0.033583950251340866
trial_2	quinidine	14	KG00097852	Anemia NOS	0.03327476233243942
trial_2	quinidine	96	KG00101679	Unattended death NOS	0.03270106390118599
trial_2	quinidine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.03184853121638298
trial_2	quinidine	36	KG00106434	Vision, Blurring Of	0.03157418593764305
trial_2	quinidine	102	KG00097916	anxieties	0.031507331877946854
trial_2	quinidine	239	KG00100128	pareses	0.03029744140803814
trial_2	quinidine	350	KG00106765	decreased platelet count	0.029122907668352127
trial_2	quinidine	396	KG00100373	Embolism, Pulmonary	0.02883305586874485
trial_2	quinidine	66	KG00098642	drowsiness	0.028139442205429077
trial_2	quinidine	5	KG00099169	haematuria	0.027921177446842194
trial_2	quinidine	243	KG00100947	Micturition frequency increased	0.027439801022410393
trial_2	quinidine	2	KG00100772	thrombocytopaenia	0.026751205325126648
trial_2	quinidine	191	KG00104055	Biliverdin increased	0.026737211272120476
trial_2	quinidine	72	KG00103771	myalgias	0.026045965030789375
trial_2	quinidine	30	KG00099500	Acute Kidney Failure	0.025448644533753395
trial_2	quinidine	234	KG00098669	dysgeusias	0.025298450142145157
trial_2	quinidine	76	KG00100450	Respiratory insufficiency, NOS	0.02523762732744217
trial_2	quinidine	69	KG00100082	Palpitations NOS	0.025143204256892204
trial_2	quinidine	131	KG00100948	Urinary tract infection (& [NOS])	0.02510930225253105
trial_2	quinidine	61	KG00099501	Chronic Kidney Failure	0.024419784545898438
trial_2	quinidine	261	KG00101559	raised alkaline phosphatase	0.02436954341828823
trial_2	quinidine	130	KG00100683	Stomatitis NOS	0.02307255007326603
trial_2	quinidine	38	KG00098066	Binocular vision disorders	0.022803395986557007
trial_2	quinidine	122	KG00099321	Hypersensitivity NOS	0.02276749350130558
trial_2	quinidine	132	KG00101045	Gain, Weight	0.022671498358249664
trial_2	quinidine	242	KG00100855	tremors	0.022582922130823135
trial_2	quinidine	142	KG00100923	Unspecified infectious and parasitic diseases	0.022444864735007286
trial_2	quinidine	286	KG00101110	Retention, Urinary	0.022212930023670197
trial_2	quinidine	466	KG00101205	fall	0.02191474474966526
trial_2	quinidine	116	KG00098964	Pain in foot	0.021758761256933212
trial_2	quinidine	136	KG00101582	Dry;skin	0.02170116826891899
trial_2	quinidine	121	KG00099190	haemorrhage	0.021291609853506088
trial_2	quinidine	262	KG00101199	agitation	0.021274957805871964
trial_2	quinidine	422	KG00101429	Creatine phosphokinase increased	0.02104475162923336
trial_2	quinidine	211	KG00100341	Pruritus NOS	0.021034596487879753
trial_2	quinidine	147	KG00098000	atelectases	0.020620685070753098
trial_2	quinidine	269	KG00100399	pyaemia	0.020453019067645073
trial_2	quinidine	139	KG00098855	Sinusitis, Ethmoid	0.01985829323530197
trial_2	quinidine	28	KG00099347	hypoglycaemia	0.01897546276450157
trial_2	quinidine	35	KG00101507	hypomagnesaemia	0.018963851034641266
trial_2	quinidine	4	KG00098817	epistaxis	0.01886838860809803
trial_2	quinidine	75	KG00100195	Dolens, Phlegmasia Alba	0.01879039965569973
trial_2	quinidine	27	KG00099303	hyperkalaemia	0.018306901678442955
trial_2	quinidine	164	KG00108827	ileus colon	0.018269725143909454
trial_2	quinidine	441	KG00098262	cellulitis nos	0.018122365698218346
trial_2	quinidine	82	KG00097697	abdomen distended	0.017634812742471695
trial_2	quinidine	194	KG00110727	Neutrophil Count Decreased	0.017360268160700798
trial_2	quinidine	179	KG00099342	hypocalcaemia	0.017135437577962875
trial_2	quinidine	341	KG00101472	Gamma-glutamyltransferase increased	0.016920186579227448
trial_2	quinidine	249	KG00104430	hypoalbuminaemia	0.016644110903143883
trial_2	quinidine	15	KG00097882	Angina pectoris NOS	0.016540031880140305
trial_2	quinidine	1	KG00099959	Neutropenia NOS	0.01653597503900528
trial_2	quinidine	218	KG00100801	Tinnitus NOS	0.016419634222984314
trial_2	quinidine	11	KG00097993	Asthma NOS	0.016233736649155617
trial_2	quinidine	221	KG00101207	peripheral oedema	0.0161276962608099
trial_2	quinidine	186	KG00101431	creatinine increased	0.01607828587293625
trial_2	quinidine	22	KG00098705	Edema (NOS)	0.01596813276410103
trial_2	quinidine	276	KG00099127	Arrest, Cardiac	0.015965234488248825
trial_2	quinidine	204	KG00098849	Esophagitis, Peptic	0.01583002135157585
trial_2	quinidine	361	KG00098004	Fibrillation, Atrial	0.015772661194205284
trial_2	quinidine	94	KG00103829	abdominal discomfort	0.015752147883176804
trial_2	quinidine	355	KG00110857	lymphocyte count decreased	0.015676984563469887
trial_2	quinidine	199	KG00098371	Rhinitis (chronic) NOS	0.015570740215480328
trial_2	quinidine	371	KG00098517	Cystitis (NOS)	0.01547021884471178
trial_2	quinidine	118	KG00099011	Gastritis NOS	0.015277181752026081
trial_2	quinidine	508	KG00108565	blood glucose increased	0.01525430753827095
trial_2	quinidine	356	KG00112623	Infectious Lung Disorders	0.015245535410940647
trial_2	quinidine	154	KG00099686	Lymphopenias	0.015153574757277966
