trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	placebo	253	KG00100232	Pleural effusion NOS (disorder)	0.03242942690849304
trial_1	placebo	199	KG00098371	Rhinitis (chronic) NOS	0.032418228685855865
trial_1	placebo	508	KG00108565	blood glucose increased	0.0323227234184742
trial_1	placebo	456	KG00099420	Influenzae	0.03228193148970604
trial_1	placebo	242	KG00100855	tremors	0.032165780663490295
trial_1	placebo	204	KG00098849	Esophagitis, Peptic	0.03198719397187233
trial_1	placebo	66	KG00098642	drowsiness	0.031720858067274094
trial_1	placebo	339	KG00100334	proteinurias	0.03120640106499195
trial_1	placebo	394	KG00100243	Pneumonia, Aspiration	0.030890345573425293
trial_1	placebo	15	KG00097882	Angina pectoris NOS	0.03057129867374897
trial_1	placebo	138	KG00098796	epidemic vomiting syndrome	0.030306098982691765
trial_1	placebo	211	KG00100341	Pruritus NOS	0.029985742643475533
trial_1	placebo	441	KG00098262	cellulitis nos	0.02981206588447094
trial_1	placebo	75	KG00100195	Dolens, Phlegmasia Alba	0.029762297868728638
trial_1	placebo	154	KG00099686	Lymphopenias	0.02951914258301258
trial_1	placebo	35	KG00101507	hypomagnesaemia	0.029489411041140556
trial_1	placebo	371	KG00098517	Cystitis (NOS)	0.029470378533005714
trial_1	placebo	221	KG00101207	peripheral oedema	0.029331395402550697
trial_1	placebo	234	KG00098669	dysgeusias	0.02923223376274109
trial_1	placebo	282	KG00099309	hypernatraemia	0.02910168282687664
trial_1	placebo	118	KG00099011	Gastritis NOS	0.028587017208337784
trial_1	placebo	31	KG00099872	Infarction, Myocardial	0.028390657156705856
trial_1	placebo	454	KG00098286	Pain, Neck	0.02826823480427265
trial_2	azatadine	78	KG00099326	Hypertensive diseases	0.21058149635791779
trial_2	azatadine	87	KG00098599	diarrhoea	0.16812168061733246
trial_2	azatadine	17	KG00097991	Asthenia NOS	0.14936430752277374
trial_2	azatadine	173	KG00098172	Bronchopneumonia NOS	0.1469087451696396
trial_2	azatadine	9	KG00098432	Confusion NOS	0.1407109797000885
trial_2	azatadine	189	KG00101580	Alanine aminotransferase increase	0.13010495901107788
trial_2	azatadine	123	KG00099351	hypokalaemia	0.11716938763856888
trial_2	azatadine	177	KG00099299	hyperglycaemia	0.1119169369339943
trial_2	azatadine	188	KG00101579	Aspartate aminotransferase increase	0.11172503978013992
trial_2	azatadine	20	KG00098540	dehydration	0.11135943233966827
trial_2	azatadine	21	KG00098675	dyspnoea	0.1063222885131836
trial_2	azatadine	46	KG00099121	Headache NOS	0.09548565745353699
trial_2	azatadine	49	KG00099902	nausea with vomiting	0.0874812975525856
trial_2	azatadine	79	KG00100317	Insomnia, Primary	0.08354728668928146
trial_2	azatadine	14	KG00097852	Anemia NOS	0.08345324546098709
trial_2	azatadine	67	KG00098673	Dyspepsia, NOS	0.08337146043777466
trial_2	azatadine	77	KG00098450	Constipation NOS	0.08240535855293274
trial_2	azatadine	68	KG00099901	nauseas	0.08010845631361008
trial_2	azatadine	228	KG00114657	Weight below normal	0.07784271985292435
trial_2	azatadine	64	KG00097734	Acrodermatitis, NOS	0.07665392756462097
trial_2	azatadine	29	KG00099354	hyponatraemia	0.07628350704908371
trial_2	azatadine	37	KG00097696	Cramps, Abdominal	0.07610068470239639
trial_2	azatadine	200	KG00098539	Disorders, Deglutition	0.07462361454963684
trial_2	azatadine	104	KG00097963	arthralgias	0.07393158972263336
trial_2	azatadine	350	KG00106765	decreased platelet count	0.07366345077753067
trial_2	azatadine	151	KG00098274	Infarction, Cerebral	0.07108056545257568
trial_2	azatadine	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.07049884647130966
trial_2	azatadine	85	KG00098474	coughs	0.0702599361538887
trial_2	azatadine	2	KG00100772	thrombocytopaenia	0.06987836956977844
trial_2	azatadine	86	KG00098565	Depression, Mental	0.06909424811601639
trial_2	azatadine	114	KG00098933	fevers	0.06511801481246948
trial_2	azatadine	30	KG00099500	Acute Kidney Failure	0.060530148446559906
trial_2	azatadine	76	KG00100450	Respiratory insufficiency, NOS	0.05888190492987633
trial_2	azatadine	239	KG00100128	pareses	0.05813079699873924
trial_2	azatadine	5	KG00099169	haematuria	0.056323520839214325
trial_2	azatadine	132	KG00101045	Gain, Weight	0.05465542525053024
trial_2	azatadine	131	KG00100948	Urinary tract infection (& [NOS])	0.05395863577723503
trial_2	azatadine	61	KG00099501	Chronic Kidney Failure	0.05395117774605751
trial_2	azatadine	126	KG00100076	Pain NOS	0.05386985093355179
trial_2	azatadine	180	KG00099363	Hypotension NOS	0.05326995998620987
trial_2	azatadine	28	KG00099347	hypoglycaemia	0.05177072063088417
trial_2	azatadine	243	KG00100947	Micturition frequency increased	0.05009274557232857
trial_2	azatadine	27	KG00099303	hyperkalaemia	0.048283278942108154
trial_2	azatadine	422	KG00101429	Creatine phosphokinase increased	0.04784312844276428
trial_2	azatadine	261	KG00101559	raised alkaline phosphatase	0.04634316638112068
trial_2	azatadine	341	KG00101472	Gamma-glutamyltransferase increased	0.046276938170194626
trial_2	azatadine	139	KG00098855	Sinusitis, Ethmoid	0.046137239784002304
trial_2	azatadine	72	KG00103771	myalgias	0.04571835324168205
trial_2	azatadine	396	KG00100373	Embolism, Pulmonary	0.045676089823246
trial_2	azatadine	194	KG00110727	Neutrophil Count Decreased	0.04514698684215546
trial_2	azatadine	18	KG00098307	Pain, Chest	0.04483635351061821
trial_2	azatadine	466	KG00101205	fall	0.044792063534259796
trial_2	azatadine	116	KG00098964	Pain in foot	0.044290244579315186
trial_2	azatadine	191	KG00104055	Biliverdin increased	0.0427902489900589
trial_2	azatadine	96	KG00101679	Unattended death NOS	0.0409543551504612
trial_2	azatadine	144	KG00099610	Leukopenia NOS	0.04075322300195694
trial_2	azatadine	101	KG00097901	Anorexia NOS	0.04039562866091728
trial_2	azatadine	179	KG00099342	hypocalcaemia	0.04023773968219757
trial_2	azatadine	102	KG00097916	anxieties	0.040064018219709396
trial_2	azatadine	297	KG00099294	hypercholesterolaemia	0.03996088728308678
trial_2	azatadine	147	KG00098000	atelectases	0.039566684514284134
trial_2	azatadine	269	KG00100399	pyaemia	0.039408743381500244
trial_2	azatadine	276	KG00099127	Arrest, Cardiac	0.03938399255275726
trial_2	azatadine	262	KG00101199	agitation	0.037948790937662125
trial_2	azatadine	130	KG00100683	Stomatitis NOS	0.037642285227775574
trial_2	azatadine	38	KG00098066	Binocular vision disorders	0.03677033632993698
trial_2	azatadine	355	KG00110857	lymphocyte count decreased	0.036088451743125916
trial_2	azatadine	97	KG00104198	LIVER ENZYME ELEVATED	0.035844966769218445
trial_2	azatadine	122	KG00099321	Hypersensitivity NOS	0.034952737390995026
trial_2	azatadine	1	KG00099959	Neutropenia NOS	0.034878358244895935
trial_2	azatadine	92	KG00100926	Infections, Upper Respiratory	0.034798502922058105
trial_2	azatadine	36	KG00106434	Vision, Blurring Of	0.03448563069105148
trial_2	azatadine	82	KG00097697	abdomen distended	0.03359013795852661
trial_2	azatadine	11	KG00097993	Asthma NOS	0.033515945076942444
trial_2	azatadine	186	KG00101431	creatinine increased	0.03341449052095413
trial_2	azatadine	164	KG00108827	ileus colon	0.03320957347750664
trial_2	azatadine	69	KG00100082	Palpitations NOS	0.03282373771071434
trial_2	azatadine	253	KG00100232	Pleural effusion NOS (disorder)	0.03242942690849304
trial_2	azatadine	199	KG00098371	Rhinitis (chronic) NOS	0.032418228685855865
trial_2	azatadine	508	KG00108565	blood glucose increased	0.0323227234184742
trial_2	azatadine	456	KG00099420	Influenzae	0.03228193148970604
trial_2	azatadine	242	KG00100855	tremors	0.032165780663490295
trial_2	azatadine	204	KG00098849	Esophagitis, Peptic	0.03198719397187233
trial_2	azatadine	66	KG00098642	drowsiness	0.031720858067274094
trial_2	azatadine	339	KG00100334	proteinurias	0.03120640106499195
trial_2	azatadine	394	KG00100243	Pneumonia, Aspiration	0.030890345573425293
trial_2	azatadine	15	KG00097882	Angina pectoris NOS	0.03057129867374897
trial_2	azatadine	138	KG00098796	epidemic vomiting syndrome	0.030306098982691765
trial_2	azatadine	211	KG00100341	Pruritus NOS	0.029985742643475533
trial_2	azatadine	441	KG00098262	cellulitis nos	0.02981206588447094
trial_2	azatadine	75	KG00100195	Dolens, Phlegmasia Alba	0.029762297868728638
trial_2	azatadine	154	KG00099686	Lymphopenias	0.02951914258301258
trial_2	azatadine	35	KG00101507	hypomagnesaemia	0.029489411041140556
trial_2	azatadine	371	KG00098517	Cystitis (NOS)	0.029470378533005714
trial_2	azatadine	221	KG00101207	peripheral oedema	0.029331395402550697
trial_2	azatadine	234	KG00098669	dysgeusias	0.02923223376274109
trial_2	azatadine	282	KG00099309	hypernatraemia	0.02910168282687664
trial_2	azatadine	118	KG00099011	Gastritis NOS	0.028587017208337784
trial_2	azatadine	31	KG00099872	Infarction, Myocardial	0.028390657156705856
trial_2	azatadine	454	KG00098286	Pain, Neck	0.02826823480427265
