trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_2	rimexolone	21	KG00098675	dyspnoea	0.04605114087462425
trial_2	rimexolone	14	KG00097852	Anemia NOS	0.04483703896403313
trial_2	rimexolone	9	KG00098432	Confusion NOS	0.04399758577346802
trial_2	rimexolone	46	KG00099121	Headache NOS	0.04379015788435936
trial_2	rimexolone	28	KG00099347	hypoglycaemia	0.04220157116651535
trial_2	rimexolone	64	KG00097734	Acrodermatitis, NOS	0.04013745114207268
trial_2	rimexolone	37	KG00097696	Cramps, Abdominal	0.039871376007795334
trial_2	rimexolone	79	KG00100317	Insomnia, Primary	0.03772411122918129
trial_2	rimexolone	77	KG00098450	Constipation NOS	0.03721931204199791
trial_2	rimexolone	67	KG00098673	Dyspepsia, NOS	0.036956336349248886
trial_2	rimexolone	61	KG00099501	Chronic Kidney Failure	0.034561991691589355
trial_2	rimexolone	151	KG00098274	Infarction, Cerebral	0.03409938886761665
trial_2	rimexolone	180	KG00099363	Hypotension NOS	0.03407229110598564
trial_2	rimexolone	68	KG00099901	nauseas	0.033482033759355545
trial_2	rimexolone	29	KG00099354	hyponatraemia	0.032876718789339066
trial_2	rimexolone	126	KG00100076	Pain NOS	0.03283719718456268
trial_2	rimexolone	86	KG00098565	Depression, Mental	0.031780097633600235
trial_2	rimexolone	5	KG00099169	haematuria	0.03176185488700867
trial_2	rimexolone	49	KG00099902	nausea with vomiting	0.03150046616792679
trial_2	rimexolone	38	KG00098066	Binocular vision disorders	0.031324632465839386
trial_2	rimexolone	27	KG00099303	hyperkalaemia	0.03129589557647705
trial_2	rimexolone	114	KG00098933	fevers	0.031082984060049057
trial_2	rimexolone	2	KG00100772	thrombocytopaenia	0.030386030673980713
trial_2	rimexolone	189	KG00101580	Alanine aminotransferase increase	0.030285729095339775
trial_2	rimexolone	147	KG00098000	atelectases	0.0299691092222929
trial_2	rimexolone	350	KG00106765	decreased platelet count	0.029837336391210556
trial_2	rimexolone	228	KG00114657	Weight below normal	0.029242629185318947
trial_2	rimexolone	239	KG00100128	pareses	0.029131701216101646
trial_2	rimexolone	179	KG00099342	hypocalcaemia	0.0291020255535841
trial_2	rimexolone	131	KG00100948	Urinary tract infection (& [NOS])	0.02886393666267395
trial_2	rimexolone	139	KG00098855	Sinusitis, Ethmoid	0.02864793874323368
trial_2	rimexolone	96	KG00101679	Unattended death NOS	0.028173543512821198
trial_2	rimexolone	76	KG00100450	Respiratory insufficiency, NOS	0.027813158929347992
trial_2	rimexolone	396	KG00100373	Embolism, Pulmonary	0.027413200587034225
trial_2	rimexolone	85	KG00098474	coughs	0.026646798476576805
trial_2	rimexolone	243	KG00100947	Micturition frequency increased	0.026611054316163063
trial_2	rimexolone	122	KG00099321	Hypersensitivity NOS	0.026479119434952736
trial_2	rimexolone	30	KG00099500	Acute Kidney Failure	0.026116695255041122
trial_2	rimexolone	72	KG00103771	myalgias	0.025171002373099327
trial_2	rimexolone	36	KG00106434	Vision, Blurring Of	0.024347010999917984
trial_2	rimexolone	188	KG00101579	Aspartate aminotransferase increase	0.024329284206032753
trial_2	rimexolone	441	KG00098262	cellulitis nos	0.024220921099185944
trial_2	rimexolone	104	KG00097963	arthralgias	0.023760559037327766
trial_2	rimexolone	193	KG00108982	WHITE BLOOD CELL COUNT DECREASED	0.0236892718821764
trial_2	rimexolone	276	KG00099127	Arrest, Cardiac	0.022807758301496506
trial_2	rimexolone	142	KG00100923	Unspecified infectious and parasitic diseases	0.020922424271702766
trial_2	rimexolone	121	KG00099190	haemorrhage	0.020753175020217896
trial_2	rimexolone	466	KG00101205	fall	0.020699171349406242
trial_2	rimexolone	269	KG00100399	pyaemia	0.020589925348758698
trial_2	rimexolone	69	KG00100082	Palpitations NOS	0.020556118339300156
trial_2	rimexolone	92	KG00100926	Infections, Upper Respiratory	0.020547546446323395
trial_2	rimexolone	116	KG00098964	Pain in foot	0.020524682477116585
trial_2	rimexolone	282	KG00099309	hypernatraemia	0.020217400044202805
trial_2	rimexolone	75	KG00100195	Dolens, Phlegmasia Alba	0.020063476637005806
trial_2	rimexolone	249	KG00104430	hypoalbuminaemia	0.019519470632076263
trial_2	rimexolone	18	KG00098307	Pain, Chest	0.019481215626001358
trial_2	rimexolone	288	KG00101223	hypophosphataemia	0.019053233787417412
trial_2	rimexolone	35	KG00101507	hypomagnesaemia	0.018951350823044777
trial_2	rimexolone	221	KG00101207	peripheral oedema	0.018750784918665886
trial_2	rimexolone	102	KG00097916	anxieties	0.018497666344046593
trial_2	rimexolone	163	KG00104050	bowel obstructions small	0.018278514966368675
trial_2	rimexolone	194	KG00110727	Neutrophil Count Decreased	0.018000120297074318
trial_2	rimexolone	101	KG00097901	Anorexia NOS	0.017934780567884445
trial_2	rimexolone	355	KG00110857	lymphocyte count decreased	0.017516694962978363
trial_2	rimexolone	132	KG00101045	Gain, Weight	0.0175116416066885
trial_2	rimexolone	234	KG00098669	dysgeusias	0.01748182810842991
trial_2	rimexolone	261	KG00101559	raised alkaline phosphatase	0.017378848046064377
trial_2	rimexolone	286	KG00101110	Retention, Urinary	0.017242025583982468
trial_2	rimexolone	204	KG00098849	Esophagitis, Peptic	0.01724039390683174
trial_2	rimexolone	82	KG00097697	abdomen distended	0.017137188464403152
trial_2	rimexolone	31	KG00099872	Infarction, Myocardial	0.017033010721206665
trial_2	rimexolone	268	KG00099557	Heart Failure, Left-Sided	0.016813386231660843
trial_2	rimexolone	508	KG00108565	blood glucose increased	0.016717348247766495
trial_2	rimexolone	164	KG00108827	ileus colon	0.016546642407774925
trial_2	rimexolone	361	KG00098004	Fibrillation, Atrial	0.016438420861959457
trial_2	rimexolone	253	KG00100232	Pleural effusion NOS (disorder)	0.016353484243154526
trial_2	rimexolone	1	KG00099959	Neutropenia NOS	0.016334641724824905
trial_2	rimexolone	138	KG00098796	epidemic vomiting syndrome	0.015975259244441986
trial_2	rimexolone	144	KG00099610	Leukopenia NOS	0.015488109551370144
trial_2	rimexolone	195	KG00097814	Atopic Rhinitis	0.015277591533958912
trial_2	rimexolone	262	KG00101199	agitation	0.015187151730060577
trial_2	rimexolone	186	KG00101431	creatinine increased	0.014973154291510582
trial_2	rimexolone	456	KG00099420	Influenzae	0.014850220642983913
trial_2	rimexolone	53	KG00101550	Pain in eyes	0.014505768194794655
trial_2	rimexolone	130	KG00100683	Stomatitis NOS	0.014297852292656898
trial_2	rimexolone	4	KG00098817	epistaxis	0.014297005720436573
trial_2	rimexolone	118	KG00099011	Gastritis NOS	0.014043059200048447
trial_2	rimexolone	154	KG00099686	Lymphopenias	0.013986622914671898
trial_2	rimexolone	33	KG00100094	Pancreatitis NOS	0.013982027769088745
trial_2	rimexolone	454	KG00098286	Pain, Neck	0.013828598894178867
trial_2	rimexolone	254	KG00100774	Thrombosis NOS	0.013713777996599674
trial_2	rimexolone	160	KG00099291	hypercalcaemia	0.013632255606353283
